firmhash,n_data_breaches
81452340,0
69954389,0
28185793,0
44377873,0
90473126,0
17103032,0
44220551,0
20425019,1
84173478,0
49454757,0
47698979,5
66391974,0
46320206,0
65589707,0
56516632,1
96965279,0
1154664,0
56569439,0
4430292,0
14951394,0
27073817,2
25733132,0
27278298,1
45236433,0
82561450,0
44006294,0
96420458,0
47377124,0
83086160,0
11020622,0
25211133,0
2324897,0
47088222,0
22731954,0
83177956,0
42358801,0
57529103,0
49635551,0
64590398,0
15154851,0
85336234,0
79707187,0
15763459,0
39244919,1
55175896,0
29308669,0
11640143,0
92219678,0
86726016,0
85090994,0
61885725,0
19235437,0
90910968,1
68150526,0
64972820,0
51602619,0
44515371,0
32842156,0
4334,0
92510712,0
35982221,1
96520878,0
84320308,0
82015830,0
41233169,0
66267592,1
32079858,0
30887188,0
27509971,0
4928795,0
17003629,0
97346188,0
63959917,0
7088274,0
77248003,0
5792575,0
15389080,0
77545065,0
32328654,0
62290075,0
1114193,0
6390849,0
42420121,0
17157039,1
87158764,0
81171238,0
46645056,0
88768024,1
15863518,0
95483296,0
86226032,0
7980268,0
44356158,3
75434725,0
94451572,0
82155499,0
4125165,0
25240319,0
81482526,0
85962045,0
49158398,0
54319877,0
45148846,0
14872137,1
72165256,0
67842368,0
62481155,0
372409,0
53797862,0
15444931,0
35007398,0
36687822,1
25334287,0
7144409,0
62267109,0
45049471,0
53661070,0
73710957,1
66895823,0
87736035,0
74032102,0
67415127,0
81101836,1
52847123,0
59372337,2
65537894,0
80470569,0
94618876,0
28848238,0
96170884,0
84552298,0
20298673,0
90051164,0
65369734,0
23738264,0
39832732,0
46820870,0
78956833,0
59163122,0
52950224,0
93151370,1
80500879,0
13350554,0
75840013,0
65343894,0
63354319,0
26178486,0
320061,0
28612951,0
40830380,0
19924830,0
27460961,0
47286314,1
94432496,0
80573960,0
21716244,0
95064429,1
91164202,0
30527315,0
6358551,0
96398364,0
42106539,0
10921489,0
71279945,0
65311671,0
34118887,0
54451000,0
34373056,0
26603264,0
16028019,0
14408230,0
61770803,0
89714635,0
62410768,0
3928293,0
31879422,0
94824751,0
93579284,0
92541536,0
71938895,0
67193792,0
36142919,0
34287383,1
27975664,0
43286794,0
89340698,0
1122557,0
9298213,0
46308372,0
96122256,0
31021984,0
9362623,1
20594665,0
17635073,0
58099862,0
69167609,0
26746507,3
37489535,0
52280268,0
1395586,0
34094667,0
11889067,0
34357436,0
19287915,0
21901274,0
36722584,0
23870525,0
73486559,0
93087994,0
78063735,0
94179125,0
84979873,0
91838559,0
30519271,0
31567939,0
47293058,0
23114375,0
62696846,0
25306560,0
30384605,0
94616664,0
6135800,0
11555840,0
39893441,0
55050579,0
39514508,0
78226892,0
18663661,0
33107380,0
60197493,0
17771025,0
4448211,0
82586903,0
63540714,0
7716634,0
65774732,0
83543049,3
85449414,1
35663694,0
45548500,0
3830640,0
20984950,0
19480562,0
52365184,0
61403954,0
27215640,1
60577048,0
95839969,0
84398188,0
18656478,0
31299470,1
16840449,0
22437144,0
79760457,0
76290674,0
48221536,1
97579387,0
25272841,0
80443031,0
39710651,0
88840962,0
41431043,0
58683054,0
16364679,0
94339545,0
74058952,0
43233342,0
1269175,0
92143529,0
56145983,0
20718046,0
90591420,0
24552130,0
85967634,0
42499749,0
13464929,0
30576852,0
31059868,0
94458621,0
59264779,0
3552171,0
84253012,2
14618887,0
37497127,0
95317668,0
40959460,0
12531873,0
38920319,0
71276846,0
50419531,0
66569529,0
73476083,0
31623067,0
76885982,0
56410840,0
4360561,0
92497628,2
56873835,0
83742461,0
34477255,0
13969311,0
23777144,1
91182462,0
42006327,0
62561697,0
85110904,3
63760976,1
93625172,0
64034139,4
35213362,0
96533163,0
91238059,0
31535227,0
48364378,0
89840581,0
7357486,1
51796205,0
5387017,0
84743076,0
95430651,0
54373807,0
93918569,1
22677375,0
56443009,0
61513084,0
25445217,1
63309148,0
22891939,0
61498896,0
70913785,0
38097002,1
76091690,0
14764920,0
91406886,1
63587918,0
66607090,0
10873291,0
1978476,0
23065840,0
20280705,0
37521368,0
30540041,0
49740120,0
24789965,0
51696557,0
40233736,0
89053299,0
22341419,2
90659629,0
36057207,0
25573613,0
82789256,3
51521743,0
38090923,0
52693170,0
63895744,4
55820664,0
73707204,0
16825745,0
25000384,0
60339838,0
24867873,0
311410,0
81779859,0
93983578,0
67340539,0
58982749,0
81237650,0
828830,0
38494618,1
29957993,0
37622842,1
33578862,0
9800251,2
58966584,0
29040865,0
69224958,0
71245137,0
2678056,0
47398118,0
65787919,1
58472244,4
12324959,0
20554737,0
88341419,0
85064871,0
6266396,0
96572971,0
57537353,0
87724805,0
60310056,0
75999693,0
93001898,0
31889689,0
73770797,0
50479939,0
82745242,0
28209019,0
97256173,0
15981844,1
52975629,0
32426695,0
25859622,0
84854180,0
53367815,0
76492900,0
32664700,0
85239647,0
77298077,0
14100607,0
73736013,0
8125639,0
81966535,0
52456632,0
31318609,0
16182506,0
5755989,0
34899581,0
67868876,2
62332206,0
9184084,0
31786362,0
4844558,0
19717673,0
91951917,0
93795240,0
39758378,1
43631066,0
63816202,0
40806588,1
88831324,2
36074314,0
60837810,0
86079284,0
54660114,0
21823939,0
67430004,0
27023553,0
61903010,3
27954751,0
57292320,0
85337194,0
29386176,0
85783133,0
71688314,0
62251428,0
28031270,2
16115187,1
2198027,0
88535379,0
44287733,0
41605654,0
25147285,0
43757951,0
48543033,2
82077804,0
80876548,3
9242349,1
52958981,0
11817849,1
77293488,0
90866176,0
32189345,0
94281801,0
85029053,0
84667469,0
2128691,0
53720454,0
93294514,0
22029662,0
9078531,0
42257719,2
22954459,1
24856481,0
35110108,0
48755295,0
8781061,0
80832225,0
82073850,0
1626468,1
61065401,0
71260716,0
77555312,0
20664810,0
97051139,0
87672340,0
40853310,0
31978371,0
99533148,0
93443733,0
55701611,0
6674526,0
2828428,0
13762124,1
51720213,2
42518917,0
3572700,0
8153275,5
63113171,1
38887775,1
56304798,0
70508264,1
59882969,0
15738094,0
1928129,1
97385556,0
37755086,0
23769606,0
41349494,2
70582244,0
57407823,0
38542228,0
87392570,0
86022172,0
86457752,0
82170737,0
32642760,0
16883829,0
92978594,0
37649500,0
70335522,0
73753336,0
10751354,0
95043862,0
27450607,0
93536741,0
30679506,0
39086297,0
25225106,0
44862809,0
71221791,0
19603604,0
95856329,0
68918159,0
236748,0
4298841,0
59605839,0
46714817,2
47021065,0
45009303,0
50473050,0
16820596,0
18496991,0
76463498,0
63974770,0
16500824,0
97001196,0
43976777,0
28480392,0
80389920,0
92525567,2
6821703,0
12311658,1
81900002,5
97596943,0
63401745,0
85165490,0
36763822,0
36469379,2
63652032,0
53460348,1
54824686,0
53584005,0
96831191,0
25602068,0
33354107,2
79482678,0
56484020,0
75356373,0
26586257,0
16970488,0
77116821,0
63976179,0
84451988,0
65254185,1
63676935,0
32885958,0
5915100,0
89896126,0
12169399,0
95733289,0
52579036,0
15031200,0
82832251,0
87575473,1
53447891,0
90867754,0
40830605,0
78132452,3
24479605,0
58625292,0
