firm,type,share_percent
WALMART INC.,One or more named individuals or families,50.66
WALMART INC.,Financial company,4.77
WALMART INC.,Bank,3.07
WALMART INC.,Bank,2.51
WALMART INC.,Bank,0.75
WALMART INC.,"Mutual and pension fund, nominee, trust, trustee",0.75
WALMART INC.,Corporate,0.71
WALMART INC.,Bank,0.59
WALMART INC.,Insurance company,0.52
WALMART INC.,Bank,0.44
WALMART INC.,Bank,0.41
WALMART INC.,Corporate,0.41
WALMART INC.,"Foundation, research Institute",0.41
WALMART INC.,Financial company,0.39
WALMART INC.,Financial company,0.38
WALMART INC.,Bank,0.36
WALMART INC.,Insurance company,0.36
WALMART INC.,Bank,0.36
WALMART INC.,Bank,0.35
WALMART INC.,"Public authority, state, government",0.33
WALMART INC.,Corporate,0.32
WALMART INC.,Insurance company,0.30
WALMART INC.,Financial company,0.29
WALMART INC.,Bank,0.28
WALMART INC.,Bank,0.27
WALMART INC.,Corporate,0.27
WALMART INC.,Bank,0.26
WALMART INC.,Bank,0.25
WALMART INC.,Corporate,n.a.
WALMART INC.,Bank,0.24
WALMART INC.,Bank,0.22
WALMART INC.,Bank,0.21
WALMART INC.,Bank,0.21
WALMART INC.,Bank,0.20
WALMART INC.,Bank,0.16
WALMART INC.,Bank,0.16
WALMART INC.,Corporate,0.15
WALMART INC.,Corporate,0.15
WALMART INC.,Bank,0.15
WALMART INC.,Bank,0.14
WALMART INC.,Corporate,0.14
WALMART INC.,Corporate,0.13
WALMART INC.,Bank,0.12
WALMART INC.,Corporate,0.12
WALMART INC.,Corporate,0.12
WALMART INC.,Financial company,0.12
WALMART INC.,"Mutual and pension fund, nominee, trust, trustee",0.12
WALMART INC.,Bank,0.11
WALMART INC.,Financial company,0.11
WALMART INC.,"Public authority, state, government",0.11
WALMART INC.,"Mutual and pension fund, nominee, trust, trustee",0.11
WALMART INC.,Insurance company,0.10
WALMART INC.,Bank,0.10
WALMART INC.,Bank,0.10
WALMART INC.,Bank,n.a.
"AMAZON.COM, INC.",One or more named individuals or families,n.a.
"AMAZON.COM, INC.",Financial company,6.58
"AMAZON.COM, INC.",Bank,5.52
"AMAZON.COM, INC.",Bank,3.33
"AMAZON.COM, INC.",Corporate,3.24
"AMAZON.COM, INC.",Bank,3.15
"AMAZON.COM, INC.",Corporate,2.63
"AMAZON.COM, INC.","Mutual and pension fund, nominee, trust, trustee",1.25
"AMAZON.COM, INC.",Bank,1.03
"AMAZON.COM, INC.",Bank,0.92
"AMAZON.COM, INC.",Bank,0.90
"AMAZON.COM, INC.",Corporate,0.90
"AMAZON.COM, INC.","Public authority, state, government",0.89
"AMAZON.COM, INC.",Corporate,0.82
"AMAZON.COM, INC.",Bank,0.80
"AMAZON.COM, INC.",Bank,0.76
"AMAZON.COM, INC.",Bank,0.72
"AMAZON.COM, INC.",Bank,0.68
"AMAZON.COM, INC.",Bank,0.59
"AMAZON.COM, INC.",Insurance company,0.50
"AMAZON.COM, INC.",Corporate,0.50
"AMAZON.COM, INC.",Bank,0.45
"AMAZON.COM, INC.",Bank,0.45
"AMAZON.COM, INC.",Financial company,0.44
"AMAZON.COM, INC.",Bank,0.43
"AMAZON.COM, INC.",Bank,0.41
"AMAZON.COM, INC.",Bank,0.41
"AMAZON.COM, INC.",Bank,0.39
"AMAZON.COM, INC.",Bank,0.38
"AMAZON.COM, INC.",Bank,0.38
"AMAZON.COM, INC.","Public authority, state, government",0.37
"AMAZON.COM, INC.",Insurance company,0.35
"AMAZON.COM, INC.",Insurance company,0.35
"AMAZON.COM, INC.",Corporate,0.34
"AMAZON.COM, INC.",Bank,0.33
"AMAZON.COM, INC.",Financial company,0.33
"AMAZON.COM, INC.",Bank,0.33
"AMAZON.COM, INC.",Financial company,0.33
"AMAZON.COM, INC.",Corporate,0.32
"AMAZON.COM, INC.",Bank,0.31
"AMAZON.COM, INC.",Bank,0.29
"AMAZON.COM, INC.",Corporate,0.26
"AMAZON.COM, INC.",Corporate,0.25
"AMAZON.COM, INC.","Mutual and pension fund, nominee, trust, trustee",0.22
"AMAZON.COM, INC.",Insurance company,0.20
"AMAZON.COM, INC.",Financial company,0.20
"AMAZON.COM, INC.",Corporate,0.20
"AMAZON.COM, INC.",Bank,0.19
"AMAZON.COM, INC.",Insurance company,0.19
"AMAZON.COM, INC.",Bank,0.19
"AMAZON.COM, INC.",Bank,0.18
"AMAZON.COM, INC.",Insurance company,0.18
"AMAZON.COM, INC.","Public authority, state, government",0.17
"AMAZON.COM, INC.",Financial company,0.17
"AMAZON.COM, INC.",Bank,0.16
"AMAZON.COM, INC.",Bank,0.16
"AMAZON.COM, INC.","Mutual and pension fund, nominee, trust, trustee",0.16
"AMAZON.COM, INC.",Private equity firm,0.16
"AMAZON.COM, INC.","Public authority, state, government",0.15
"AMAZON.COM, INC.",Bank,0.15
"AMAZON.COM, INC.",Corporate,0.15
"AMAZON.COM, INC.",Corporate,0.15
"AMAZON.COM, INC.",Corporate,0.15
"AMAZON.COM, INC.",Bank,0.14
"AMAZON.COM, INC.",Insurance company,0.14
"AMAZON.COM, INC.",Bank,0.13
"AMAZON.COM, INC.","Public authority, state, government",0.13
"AMAZON.COM, INC.",Corporate,0.13
"AMAZON.COM, INC.",Corporate,0.13
"AMAZON.COM, INC.",Corporate,0.13
"AMAZON.COM, INC.",Bank,0.12
"AMAZON.COM, INC.",Bank,0.12
"AMAZON.COM, INC.",Bank,0.12
"AMAZON.COM, INC.",Hedge fund,0.12
"AMAZON.COM, INC.",Private equity firm,0.12
"AMAZON.COM, INC.","Public authority, state, government",0.12
"AMAZON.COM, INC.",Hedge fund,0.12
"AMAZON.COM, INC.","Mutual and pension fund, nominee, trust, trustee",0.12
"AMAZON.COM, INC.","Mutual and pension fund, nominee, trust, trustee",0.12
"AMAZON.COM, INC.",Bank,0.11
"AMAZON.COM, INC.",Bank,0.11
"AMAZON.COM, INC.",Bank,0.11
"AMAZON.COM, INC.",Bank,0.11
"AMAZON.COM, INC.","Public authority, state, government",0.11
"AMAZON.COM, INC.",Corporate,0.11
"AMAZON.COM, INC.","Public authority, state, government",0.11
"AMAZON.COM, INC.",Insurance company,0.11
"AMAZON.COM, INC.",Insurance company,0.11
"AMAZON.COM, INC.",Bank,0.10
"AMAZON.COM, INC.",Insurance company,0.10
"AMAZON.COM, INC.",Private equity firm,0.10
"AMAZON.COM, INC.","Mutual and pension fund, nominee, trust, trustee",0.10
APPLE INC.,Financial company,n.a.
APPLE INC.,Bank,4.17
APPLE INC.,Corporate,2.22
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",n.a.
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",1.45
APPLE INC.,Bank,1.34
APPLE INC.,Bank,1.28
APPLE INC.,"Public authority, state, government",1.10
APPLE INC.,Bank,0.99
APPLE INC.,Bank,0.91
APPLE INC.,Corporate,0.87
APPLE INC.,Bank,0.75
APPLE INC.,Corporate,0.75
APPLE INC.,Bank,0.74
APPLE INC.,Bank,0.68
APPLE INC.,Insurance company,0.61
APPLE INC.,Bank,0.55
APPLE INC.,Bank,0.52
APPLE INC.,Financial company,0.48
APPLE INC.,Bank,0.47
APPLE INC.,Bank,0.46
APPLE INC.,Bank,0.44
APPLE INC.,Bank,0.44
APPLE INC.,Bank,0.44
APPLE INC.,Corporate,0.44
APPLE INC.,Bank,0.41
APPLE INC.,"Public authority, state, government",0.40
APPLE INC.,Bank,0.39
APPLE INC.,Corporate,0.37
APPLE INC.,Bank,0.34
APPLE INC.,Financial company,0.34
APPLE INC.,Financial company,0.33
APPLE INC.,Bank,0.31
APPLE INC.,Bank,0.31
APPLE INC.,Corporate,0.27
APPLE INC.,Insurance company,0.27
APPLE INC.,Bank,0.23
APPLE INC.,Corporate,0.23
APPLE INC.,Bank,0.21
APPLE INC.,Corporate,0.21
