firm,last_available_year,date_of_incorporation,stock_turnover
WALMART INC.,2020,31/10/1969,"12,44"
"AMAZON.COM, INC.",2020,28/05/1996,"16,23"
APPLE INC.,2020,03/01/1977,"67,60"
CVS HEALTH CORPORATION,2020,22/08/1996,"14,53"
MCKESSON CORPORATION,2019,07/07/1994,n.a.
AMERISOURCEBERGEN CORP,2020,16/03/2001,"15,08"
ALPHABET INC.,2020,23/07/2015,"250,72"
EXXON MOBIL CORP,2020,05/08/1882,"9,47"
AT&T INC.,2020,05/10/1983,"47,82"
COSTCO WHOLESALE CORP,2020,12/05/1987,"13,62"
CARDINAL HEALTH INC,2020,16/05/1979,"11,59"
MICROSOFT CORPORATION,2020,22/09/1993,"75,47"
HOME DEPOT INC,2020,29/06/1978,"7,95"
VERIZON COMMUNICATIONS INC,2020,07/10/1983,"71,43"
JPMORGAN CHASE & CO,2020,28/10/1968,n.a.
ANTHEM INC.,2020,2004,n.a.
COMCAST CORPORATION,2020,07/12/2001,n.s.
CHEVRON CORPORATION,2020,27/01/1926,"16,64"
TARGET CORP,2020,11/02/1902,"8,78"
DELL TECHNOLOGIES INC.,2019,31/01/2013,n.a.
"LOWE'S COMPANIES, INC.",2020,01/08/1952,"5,53"
BANK OF AMERICA CORPORATION,2020,04/11/1968,n.a.
"FACEBOOK, INC.",2020,29/07/2004,n.s.
UNITED PARCEL SERVICE INC,2020,15/07/1999,n.s.
JOHNSON & JOHNSON,2020,10/11/1887,"8,84"
GENERAL ELECTRIC COMPANY,2020,15/04/1892,"5,01"
INTEL CORP,2020,01/03/1989,"9,24"
CITIGROUP INC,2020,31/12/1912,n.a.
INTERNATIONAL BUSINESS MACHINES CORP,2020,16/06/1911,"40,03"
WELLS FARGO & COMPANY,2020,08/01/1929,n.a.
PROCTER & GAMBLE CO,2020,05/05/1905,"12,91"
MARATHON PETROLEUM CORPORATION,2020,09/11/2009,"8,79"
FEDEX CORP,2020,02/10/1997,"121,01"
WALT DISNEY COMPANY (THE),2020,14/04/2018,"41,31"
VALERO ENERGY CORP,2020,08/06/1981,"10,75"
PHILLIPS 66,2020,10/11/2011,"16,47"
STONEX GROUP INC,2020,1998,n.a.
"HCA HEALTHCARE, INC.",2020,19/10/2010,"25,45"
CISCO SYSTEMS INC,2020,15/01/2021,"38,46"
MORGAN STANLEY,2020,01/01/1924,n.a.
"CHARTER COMMUNICATIONS, INC.",2020,09/07/2003,n.s.
"MERCK & CO., INC.",2020,28/07/1970,"7,61"
"BEST BUY CO, INC",2020,20/10/1966,"8,42"
ABBVIE INC.,2020,10/04/2012,"13,84"
"GOLDMAN SACHS GROUP, INC",2020,31/12/1990,n.a.
METLIFE INC.,2020,1863,n.a.
BRISTOL-MYERS SQUIBB COMPANY,2020,11/08/1933,"20,50"
PFIZER INC,2020,02/06/1942,"5,21"
CATERPILLAR INC,2020,12/03/1986,"3,66"
PROGRESSIVE CORP,2020,1937,n.a.
TJX COMPANIES INC,2019,09/04/1962,n.a.
THE ALLSTATE CORP.,2020,1931,n.a.
AMERICAN INTERNATIONAL GROUP INC.,2020,1919,n.a.
ORACLE CORP,2020,09/09/2005,"185,16"
ENERGY TRANSFER LP,2020,23/08/2005,"22,40"
AMERICAN EXPRESS COMPANY,2020,18/03/1850,n.a.
DEERE & CO,2020,25/04/1958,"7,11"
ABBOTT LABORATORIES,2020,06/03/1900,"6,91"
DOLLAR GENERAL CORP,2020,29/05/1998,"6,43"
PRUDENTIAL FINANCIAL INC.,2020,2001,n.a.
EXELON CORPORATION,2020,04/02/1999,"19,19"
HONEYWELL INTERNATIONAL INC,2020,24/11/1999,"7,27"
THERMO FISHER SCIENTIFIC INC.,2020,11/10/1960,"8,00"
TRAVELERS COMPANIES INC.,2020,1853,n.a.
CAPITAL ONE FINANCIAL CORPORATION,2020,22/11/1994,n.a.
"JABIL, INC.",2020,21/02/1992,"8,71"
ENTERPRISE PRODUCTS PARTNERS L P,2020,09/04/1998,"8,23"
HEWLETT PACKARD ENTERPRISE COMPANY,2020,25/02/2015,"10,09"
