Firm,Industry,Sector,Collector ,Privacy policy exists,Existence of a transparency report,Contact option,Legislation complied with,Third party sharing,Existence of a Data Protection Officer,ISO type,Comment,Privacy Policy URL,Privacy Policy URL corrected
Visa,Consumer Credit Card and Related Services,Business Services,Simon,1,0,1,Standard,1,1,0,,https://usa.visa.com/dam/VCOM/global/support-legal/documents/privacy-notice.pdf,
ManpowerGroup,Temporary Help,Business Services,Simon,1,0,0,Standard,1,1,1,,https://www.manpowergroup.com/privacy-policy,
PayPal Holdings,Consumer Credit Card and Related Services,Business Services,Simon,1,0,1,Standard,0,1,0,,https://www.paypal.com/us/webapps/mpp/ua/privacy-full,
Mastercard,Consumer Credit Card and Related Services,Business Services,Simon,1,1,1,Standard,1,1,1,,https://mea.mastercard.com/en-region-mea/about-mastercard/what-we-do/privacy.html,
Aramark,Diversified Outsourcing Services,Business Services,Simon,1,0,1,Standard,1,1,0,,https://www.aramark.com/other/privacy-policy,
Waste Management,Diversified Outsourcing Services,Business Services,Simon,1,0,1,Standard,1,1,0,,https://www.wm.com/us/en/privacy,
Omnicom Group,"Advertising, marketing",Business Services,Simon,1,0,1,Standard,1,0,0,,https://www.omnicomgroup.com/privacy-notice/,
Automatic Data Processing,Financial Data Services,Business Services,Simon,1,0,1,Standard,0,1,1,,https://www.adp.com/privacy.aspx,
Exxon Mobil,Petroleum Refining,Energy,Simon,1,1,1,Standard,1,0,0,,https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy,
Chevron,Petroleum Refining,Energy,Simon,1,0,1,Standard,0,1,1,,https://www.chevron.com/privacy,
Marathon Petroleum,Petroleum Refining,Energy,Simon,1,0,1,Standard,0,0,0,,https://www.marathonpetroleum.com/Privacy-Policy/,
Phillips 66,Petroleum Refining,Energy,Simon,1,1,1,Standard,1,0,0,,https://hr.phillips66.com/Legal-And-Privacy-Statement.aspx,
Valero Energy,Petroleum Refining,Energy,Simon,1,0,0,Standard,0,0,0,,https://www.valero.com/privacy-statement,
Energy Transfer,Pipelines,Energy,Simon,1,0,0,Standard,1,0,0,,https://www.energytransfer.com/privacy-policy/,
World Fuel Services,Energy,Energy,Simon,1,0,1,Standard,1,1,0,,https://www.wfscorp.com/en/privacy-policy,
ConocoPhillips,"Mining, Crude-Oil Production",Energy,Simon,1,0,1,Standard,1,0,0,,https://www.conocophillips.com/legal-and-privacy-policy/,
Exelon,Electric and Gas Utilities,Energy,Simon,1,0,1,Standard,1,0,0,,https://www.exeloncorp.com/privacy-policy,
Plains GP Holdings,Pipelines,Energy,Simon,1,0,1,Standard,0,0,0,,https://www.plainsallamerican.com/privacy-policy,
Enterprise Products Partners,Pipelines,Energy,Simon,1,0,0,Standard,1,0,0,,https://www.enterpriseproducts.com/privacy-policy,
Duke Energy,Electric and Gas Utilities,Energy,Simon,1,0,1,Standard,0,0,0,,https://www.duke-energy.com/Legal/Privacy,
PBF Energy,Petroleum Refining,Energy,Simon,0,,,,,,,,https://www.pbfenergy.com/privacy-statement/,
NGL Energy Partners,Pipelines,Energy,Simon,1,0,0,Standard,0,0,0,,http://www.nglenergypartners.com/privacy-policy,
Baker Hughes,"Oil and Gas Equipment, Services",Energy,Simon,1,0,1,Standard,1,0,1,,https://www.bakerhughes.com/privacy,
Halliburton,"Oil and Gas Equipment, Services",Energy,Simon,1,0,1,Standard,1,0,0,,https://www.halliburton.com/en-US/about-us/legal/privacy-policy.html,
Occidental Petroleum,"Mining, Crude-Oil Production",Energy,Simon,1,0,0,Standard,0,0,0,,https://www.oxy.com/Information/Pages/Privacy-Policy.aspx,
Southern Company,Electric and Gas Utilities,Energy,Simon,1,1,0,Standard,1,0,0,,https://www.southerncompany.com/privacy-statement.html,
NextEra Energy,Electric and Gas Utilities,Energy,Simon,1,0,1,Standard,1,0,0,,https://www.nexteraenergy.com/privacy-policy.html,
HollyFrontier,Petroleum Refining,Energy,Simon,1,0,1,Standard,1,0,0,,https://hollyfrontier.com/privacy-statement/default.aspx,
EOG Resources,"Mining, Crude-Oil Production",Energy,Simon,0,,,,,,,,na,
PG&E,Utilities: Gas and Electric,Energy,Simon,1,0,1,Standard,1,0,0,,https://www.pge.com/en_US/about-pge/company-information/privacy-policy/privacy-policy/privacy-policy.page,
Dominion Energy,Electric and Gas Utilities,Energy,Beatriz,1,0,1,standard,1,0,0,,https://www.dominionenergy.com/privacy,
American Electric Power,Electric and Gas Utilities,Energy,Beatriz,1,0,1,standard,1,1,0,,https://aep.com/privacy,
Freeport-McMoRan,"Mining, Crude-Oil Production",Energy,Beatriz,1,0,1,standard,1,1,0,,https://fcx.com/freeport-mcmoran-online-privacy-notice,
