Year,ISS Company ID,Ticker,CUSIP,Meeting Date,Company Name,Resolution,Resolution Type,Other Status,Omit Reason,Sponsor Type,Support For Against
2019,10524,AZO,053332102,18/12/2019,"AutoZone, Inc.",Report on Sustainability,SRI,omitted,I-10,fund,
2019,113153,OXY,674599105,31/12/2019,Occidental Petroleum Corporation,Consent to Request to Fix a Record Date,GOV,final vote,NULL,Individual,
2020,518204,COST,22160K105,22/1/2020,Costco Wholesale Corporation,Disclose Board Diversity and Qualifications Matrix,GOV,final vote,NULL,other,1.44
2020,518204,COST,22160K105,22/1/2020,Costco Wholesale Corporation,Disclosure of Antibiotics Use in Meat Supply Chains,SRI,withdrawn,NULL,fund,
2020,518204,COST,22160K105,22/1/2020,Costco Wholesale Corporation,Report on Supplier Compliance with Policy on Prison Labor,SRI,withdrawn,NULL,SRI fund,
2020,584479,V,92826C839,28/1/2020,Visa Inc.,Reform Executive Compensation Committee,SRI,omitted,I-10,Individual,
2020,584479,V,92826C839,28/1/2020,Visa Inc.,Report on Risks in Enabling Purchases of Accessories Used in Crimes,SRI,omitted,B-1,Individual,
2020,7614,AAPL,037833100,26/2/2020,Apple Inc.,Assess Feasibility of Including Sustainability as a Performance Measure for Senior Executive Compensation,GOV,final vote,NULL,SRI fund,12.06
2020,7614,AAPL,037833100,26/2/2020,Apple Inc.,Improve Guiding Principles of Executive Compensation,GOV,omitted,I-3,Individual,5.57
2020,7614,AAPL,037833100,26/2/2020,Apple Inc.,Proxy Access Amendments,GOV,final vote,NULL,other,31.12
2020,7614,AAPL,037833100,26/2/2020,Apple Inc.,Report on Company's Role in Freedom of Expression and Access to Information,SRI,final vote,NULL,fund||Individual,40.64
2020,7614,AAPL,037833100,26/2/2020,Apple Inc.,Report on Equal Employment Opportunity Policy,SRI,omitted,I-7,other,
2020,7614,AAPL,037833100,26/2/2020,Apple Inc.,Report on Policies Related to Employee Time off for Voting,SRI,withdrawn,NULL,SRI fund,
2020,41398,DE,244199105,26/2/2020,Deere & Company,Disclose Board Qualifications Matrix,SRI,final vote,NULL,other,1.13
2020,528565,ABC,03073E105,5/3/2020,AmerisourceBergen Corporation,Adopt Policy on Bonus Banking,GOV,final vote,NULL,fund,34.84
2020,528565,ABC,03073E105,5/3/2020,AmerisourceBergen Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,34.63
2020,127063,QCOM,747525103,10/3/2020,QUALCOMM Incorporated,Restore or Provide for Cumulative Voting,GOV,omitted,B-1,Individual,
2020,43227,DIS,254687106,11/3/2020,The Walt Disney Company,Limit CEO and Chairman Total Compensation,SRI,omitted,I-7,other,
2020,43227,DIS,254687106,11/3/2020,The Walt Disney Company,Report on Lobbying and Political Contributions,SRI,omitted,I-11,other,
2020,43227,DIS,254687106,11/3/2020,The Walt Disney Company,Report on Lobbying Payments and Policy,SRI,final vote,NULL,fund||other||religious||SRI fund,33.7
2020,7764,AMAT,038222105,12/3/2020,"Applied Materials, Inc.",Provide Right to Act by Written Consent,GOV,omitted,I-10,Individual,
2020,596259,AVGO,11135F101,30/3/2020,Broadcom Inc.,Report on Human Rights Risk Assessment Process,SRI,not in proxy,NULL,fund,
2020,634577,HPE,42824C109,1/4/2020,Hewlett Packard Enterprise Company,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,Individual,1.87
2020,1592,ADBE,00724F101,9/4/2020,"Adobe, Inc.",Report on Gender Pay Gap,SRI,final vote,NULL,SRI fund,12.52
2020,12517,BK,064058100,15/4/2020,The Bank of New York Mellon Corporation,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,Individual,1.47
2020,12517,BK,064058100,15/4/2020,The Bank of New York Mellon Corporation,Report on Gender Pay Gap,SRI,final vote,NULL,Individual,7.86
2020,145941,SWK,854502101,17/4/2020,"Stanley Black & Decker, Inc.",Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,51.02
2020,116854,PCAR,693718108,21/4/2020,PACCAR Inc,Adopt a Policy on Board Diversity,GOV,omitted,I-10,fund||public pension,
2020,116854,PCAR,693718108,21/4/2020,PACCAR Inc,Provide Right to Act by Written Consent,GOV,final vote,NULL,other,33.13
2020,116854,PCAR,693718108,21/4/2020,PACCAR Inc,Report on Feasibility of Adopting Renewable Energy Goals,SRI,withdrawn,NULL,SRI fund,
2020,513010,C,172967424,21/4/2020,Citigroup Inc.,Amend Proxy Access Right,GOV,final vote,NULL,Individual,37.11
2020,513010,C,172967424,21/4/2020,Citigroup Inc.,Establish Board Committee on Human Rights,GOV,omitted,I-10,other,
2020,513010,C,172967424,21/4/2020,Citigroup Inc.,Report on the Statement on the Purpose of a Corporation,GOV,final vote,NULL,SRI fund,7
2020,513010,C,172967424,21/4/2020,Citigroup Inc.,Investigate Financial Coverup Regarding SOX Financial Stress Test,SRI,omitted,E-2,Individual,
2020,513010,C,172967424,21/4/2020,Citigroup Inc.,Report on Lobbying Payments and Policy,SRI,final vote,NULL,Special Interest,15.11
2020,21551,CI,125523100,22/4/2020,Cigna Corporation,Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,other,45.69
2020,21551,CI,125523100,22/4/2020,Cigna Corporation,Report on Gender Pay Gap,SRI,final vote,NULL,other,20.96
2020,514379,AN,05329W102,22/4/2020,"AutoNation, Inc.",Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,Individual,36.72
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,Amend Proxy Access Right,GOV,final vote,NULL,Individual,26.53
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,Establish Board Committee on Human Rights,GOV,omitted,I-10,other,
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,28.41
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,"Review of Statement of the Purpose of a Corporation and Report on Recommended Changes to Governance Documents, Policies, and Practices",GOV,final vote,NULL,Individual,9.33
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,Climate Change Risk Reporting,SRI,withdrawn,NULL,Special Interest,
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,Report on Charitable Contributions,SRI,omitted,E-2,Individual,
2020,515366,BAC,060505104,22/4/2020,Bank of America Corporation,Report on Gender Pay Gap,SRI,final vote,NULL,SRI fund,9.77
2020,80710,JNJ,478160104,23/4/2020,Johnson & Johnson,Adopt Policy on Bonus Banking.,GOV,omitted,I-7,fund,
2020,80710,JNJ,478160104,23/4/2020,Johnson & Johnson,Disclose Board Diversity and Qualifications Matrix,GOV,omitted,I-10,other,
2020,80710,JNJ,478160104,23/4/2020,Johnson & Johnson,Prohibit Adjusting Compensation Metrics for Legal or Compliance Costs,GOV,omitted,I-7,public pension,
2020,80710,JNJ,478160104,23/4/2020,Johnson & Johnson,Report on Integrating Risks Related to Drug Pricing into Senior Executive Compensation,GOV,not in proxy,NULL,Special Interest,
2020,80710,JNJ,478160104,23/4/2020,Johnson & Johnson,Require Independent Board Chair,GOV,final vote,NULL,other,41.82
2020,80710,JNJ,478160104,23/4/2020,Johnson & Johnson,Report on Governance Measures Implemented Related to Opioids,SRI,final vote,NULL,other,60.92
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Amend Proxy Access Right,GOV,final vote,NULL,Individual,30.22
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,15.85
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Report on Integrating Risks Related to Drug Pricing into Senior Executive Compensation,GOV,not in proxy,NULL,religious,
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Require Independent Board Chair,GOV,final vote,NULL,religious,34
