firm,longterm,share_percent
Abbott Laboratories,0,29.71
Abbott Laboratories,0,15.54
Abbott Laboratories,0,3.74
Abbott Laboratories,1,4.25
Abbott Laboratories,0,2.96
Abbott Laboratories,0,0.11
Abbott Laboratories,0,2.32
Abbvie Inc.,0,24.91
Abbvie Inc.,0,10.65
Abbvie Inc.,0,3.34
Abbvie Inc.,0,0.59
Abbvie Inc.,1,2.67
Abbvie Inc.,0,3.15
Abbvie Inc.,0,0.45
Abbvie Inc.,0,2.44
Abbvie Inc.,0,0.11
Adobe Inc,0,34.75
Adobe Inc,0,16.25
Adobe Inc,0,15.33
Adobe Inc,0,0.38
Adobe Inc,1,4.01
Adobe Inc,0,5.61
Adobe Inc,0,0.54
Adobe Inc,0,2.71
Adobe Inc,0,0.11
Ally Financial Inc,0,38.73
Ally Financial Inc,0,19.32
Ally Financial Inc,0,31.03
Ally Financial Inc,0,1.48
Ally Financial Inc,1,12.41
Ally Financial Inc,0,6.53
Ally Financial Inc,0,2.78
Ally Financial Inc,0,3.49
Ally Financial Inc,0,0.42
Alphabet Inc.,0,21.95
Alphabet Inc.,0,10.78
Alphabet Inc.,0,9.7
Alphabet Inc.,1,2.98
Alphabet Inc.,0,3.06
Alphabet Inc.,0,5.15
Alphabet Inc.,0,0.23
Alphabet Inc.,0,2.64
"Amazon.Com, Inc.",0,25.16
"Amazon.Com, Inc.",0,10.41
"Amazon.Com, Inc.",0,8.05
"Amazon.Com, Inc.",0,0.24
"Amazon.Com, Inc.",1,2.23
"Amazon.Com, Inc.",0,1.97
"Amazon.Com, Inc.",0,0
"Amazon.Com, Inc.",0,0.38
"Amazon.Com, Inc.",0,2.05
American Airlines Group Inc.,0,20.31
American Airlines Group Inc.,0,8.3
American Airlines Group Inc.,0,25.29
American Airlines Group Inc.,0,1.01
American Airlines Group Inc.,1,1.05
American Airlines Group Inc.,0,7.58
American Airlines Group Inc.,0,2.73
American Airlines Group Inc.,0,1.18
American Electric Power Company Inc,0,38.08
American Electric Power Company Inc,0,10.27
American Electric Power Company Inc,0,12.45
American Electric Power Company Inc,1,4.61
American Electric Power Company Inc,0,2.22
American Electric Power Company Inc,0,0.34
American Electric Power Company Inc,0,1.79
American Electric Power Company Inc,0,0.12
American Express Company,0,27.44
American Express Company,0,11.91
American Express Company,0,11.98
American Express Company,1,22.83
