firm,industry,sector,return_on_assets,comment
Visa,Consumer Credit Card and Related Services,Business Services,"0,112382000",
ManpowerGroup,Temporary Help,Business Services,"0,025004000",
PayPal Holdings,Consumer Credit Card and Related Services,Business Services,"0,035206000",
Mastercard,Consumer Credit Card and Related Services,Business Services,"0,162408000",
Aramark,Diversified Outsourcing Services,Business Services,"-0,017129000",
Waste Management,Diversified Outsourcing Services,Business Services,"0,057542000",
Omnicom Group,"Advertising, marketing",Business Services,"0,039816000",
Automatic Data Processing,Financial Data Services,Business Services,"0,042051000",
Exxon Mobil,Petroleum Refining,Energy,"-0,018408000",
Chevron,Petroleum Refining,Energy,"-0,008693000",
Marathon Petroleum,Petroleum Refining,Energy,"-0,017690000",
Phillips 66,Petroleum Refining,Energy,"-0,016682000",
Valero Energy,Petroleum Refining,Energy,"-0,017950000",
Energy Transfer,Pipelines,Energy,"0,037734000",
World Fuel Services,Energy,Energy,"0,020704000",
ConocoPhillips,"Mining, Crude-Oil Production",Energy,"-0,015285000",
Exelon,Electric and Gas Utilities,Energy,"0,021200000",
Plains GP Holdings,Pipelines,Energy,"0,019022000",
Enterprise Products Partners,Pipelines,Energy,"0,054584000",
Duke Energy,Electric and Gas Utilities,Energy,"0,021612000",
PBF Energy,Petroleum Refining,Energy,"-0,094519000",
NGL Energy Partners,Pipelines,Energy,"0,017120000",
Baker Hughes,"Oil and Gas Equipment, Services",Energy,"0,014172000",
Halliburton,"Oil and Gas Equipment, Services",Energy,"0,015659000",
Occidental Petroleum,"Mining, Crude-Oil Production",Energy,"-0,055639000",
Southern Company,Electric and Gas Utilities,Energy,"0,027081000",
NextEra Energy,Electric and Gas Utilities,Energy,"0,026214000",
HollyFrontier,Petroleum Refining,Energy,"-0,009426000",
EOG Resources,"Mining, Crude-Oil Production",Energy,"-0,002357000",
PG&E,Utilities: Gas and Electric,Energy,"0,017078000",
Dominion Energy,Electric and Gas Utilities,Energy,"0,022524000",
American Electric Power,Electric and Gas Utilities,Energy,"0,024790000",
Freeport-McMoRan,"Mining, Crude-Oil Production",Energy,"0,035155000",
Kinder Morgan,Pipelines,Energy,"0,029870000",
DTE Energy,Utilities: Gas and Electric,Energy,"0,028385000",
Consolidated Edison,Utilities: Gas and Electric,Energy,"0,025470000",
Sempra Energy,Electric and Gas Utilities,Energy,"0,025805000",
Edison International,Utilities: Gas and Electric,Energy,"0,026933000",
CenterPoint Energy,Utilities: Gas and Electric,Energy,"0,022065000",
Vistra Energy,Energy,Energy,"0,040448564",calculated by hand (data from annual report 2020)
Xcel Energy,Electric and Gas Utilities,Energy,"0,025238000",
Entergy,Utilities: Gas and Electric,Energy,"0,021220000",
FirstEnergy,Utilities: Gas and Electric,Energy,"0,029303000",
Berkshire Hathaway,Insurance: Property and Casualty,Financials,"0,051524000",
JPMorgan Chase,Megabanks,Financials,"0,009592000",
Fannie Mae,Diversified Financials,Financials,"0,002961802",calculated by hand (data from annual report 2020)
Bank of America,Megabanks,Financials,"0,006811000",
Wells Fargo,Banks: Commercial and Savings,Financials,"0,001847000",
Citigroup,Megabanks,Financials,"0,005274000",
