"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
81452340,"Liberty Oilfield Services","https://www.libertyfrac.com",1000,"Oil and Gas Equipment, Services","","",False,"501-1000"
69954389,"SPX FLOW","https://www.spxflow.com",999,"Industrial Machinery","Industrials","",True,"501-1000"
28185793,"Healthpeak Properties","https://www.hcpi.com",998,"Real estate","","",False,"501-1000"
44377873,"Herc Holdings","https://www.hercrentals.com",997,"Equipment Leasing","Business Services","",True,"501-1000"
90473126,"Mr. Cooper Group","https://mrcoopergroup.com",996,"Diversified Financials","","",False,"501-1000"
17103032,"Deluxe","https://www.deluxe.com",995,"Publishing, Printing","Media","",True,"501-1000"
44220551,"SBA Communications","https://www.sbasite.com",994,"Real estate","","",False,"501-1000"
20425019,"Rollins","https://www.rollins.com",993,"Diversified Outsourcing Services","Business Services","",True,"501-1000"
84173478,"Air Lease","https://www.airleasecorp.com",992,"Equipment Leasing","Business Services","",True,"501-1000"
49454757,"Hovnanian Enterprises","https://www.khov.com",991,"Homebuilders","Engineering & Construction","",False,"501-1000"
47698979,"Express","https://www.express.com",990,"Specialty Retailers: Apparel","Retailing","",True,"501-1000"
66391974,"Deckers Outdoor","https://www.deckers.com",989,"Apparel","Apparel","",False,"501-1000"
46320206,"Evercore","https://www.evercore.com",988,"Securities","","",False,"501-1000"
65589707,"Maxar Technologies","https://www.maxar.com",987,"Aerospace & Defense","Aerospace & Defense","",False,"501-1000"
56516632,"Barnes & Noble Education","https://www.bned.com",986,"Specialty Retailers: Other","Retailing","",True,"501-1000"
96965279,"Chico's FAS","https://www.chicosfas.com",985,"Specialty Retailers: Apparel","Retailing","",True,"501-1000"
1154664,"Copart","https://www.copart.com",984,"Commercial Services and Supplies","Retailing","",True,"501-1000"
56569439,"Floor & Decor Holdings","https://www.flooranddecor.com",983,"Specialty Retailers","Retailing","",True,"501-1000"
4430292,"Oceaneering International","https://www.oceaneering.com",982,"Oil and Gas Equipment, Services","","",False,"501-1000"
14951394,"ProPetro Holding","https://www.propetroservices.com",981,"Oil and Gas Equipment, Services","","",False,"501-1000"
27073817,"Primerica","https://www.primerica.com",980,"Insurance: Life, Health (stock)","","",False,"501-1000"
25733132,"TCF Financial","https://www.tcfbank.com",979,"Commercial Banks","","",False,"501-1000"
27278298,"Wyndham Hotels & Resorts","https://www.wyndhamhotels.com",978,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","",False,"501-1000"
45236433,"HEICO","https://www.heico.com",977,"Aerospace & Defense","Aerospace & Defense","",False,"501-1000"
82561450,"Vista Outdoor","https://www.vistaoutdoor.com",976,"Miscellaneous","Household Products","",True,"501-1000"
44006294,"Bright Horizons Family Solutions","https://www.brighthorizons.com",975,"Education","Business Services","",True,"501-1000"
96420458,"Cabot Oil & Gas","https://www.cabotog.com",974,"Mining, Crude Oil Production","","",False,"501-1000"
47377124,"GNC Holdings","https://www.gnc.com",973,"Food & Drug Stores","Food & Drug Stores","",False,"501-1000"
83086160,"Viasat","https://www.viasat.com",972,"Network and Other Communications Equipment","","",False,"501-1000"
11020622,"MYR Group","https://www.myrgroup.com",971,"Engineering, Construction","Engineering & Construction","",False,"501-1000"
25211133,"CrossAmerica Partners","https://www.crossamericapartners.com",970,"Oil and Gas Equipment, Services","","",False,"501-1000"
