"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","include","ranklabel"
81452340,"Liberty Oilfield Services","https://www.libertyfrac.com",1000,"Oil and Gas Equipment, Services","",1990.3,39.0,302.8,2571,"","",False,"501-1000"
69954389,"SPX FLOW","https://www.spxflow.com",999,"Industrial Machinery","Industrials",1996.3,95.1,1211.8,5000,"","",True,"501-1000"
28185793,"Healthpeak Properties","https://www.hcpi.com",998,"Real estate","",1997.4,45.5,12059.3,204,"","",False,"501-1000"
44377873,"Herc Holdings","https://www.hercrentals.com",997,"Equipment Leasing","Business Services",1999.0,47.5,590.5,5100,"","",True,"501-1000"
90473126,"Mr. Cooper Group","https://mrcoopergroup.com",996,"Diversified Financials","",2007.0,274.0,674.1,9100,"","",False,"501-1000"
17103032,"Deluxe","https://www.deluxe.com",995,"Publishing, Printing","Media",2008.7,199.9,1093.9,6352,"","",True,"501-1000"
44220551,"SBA Communications","https://www.sbasite.com",994,"Real estate","",2014.6,147.0,30217.6,1475,"","",False,"501-1000"
20425019,"Rollins","https://www.rollins.com",993,"Diversified Outsourcing Services","Business Services",2015.5,203.3,11845.9,14952,"","",True,"501-1000"
84173478,"Air Lease","https://www.airleasecorp.com",992,"Equipment Leasing","Business Services",2016.9,587.1,2515.9,117,"","",True,"501-1000"
49454757,"Hovnanian Enterprises","https://www.khov.com",991,"Homebuilders","Engineering & Construction",2016.9,42.1,50.5,1868,"","",False,"501-1000"
47698979,"Express","https://www.express.com",990,"Specialty Retailers: Apparel","Retailing",2019.2,164.4,95.2,9160,"","",True,"501-1000"
66391974,"Deckers Outdoor","https://www.deckers.com",989,"Apparel","Apparel",2020.4,264.3,3750.3,3500,"","",False,"501-1000"
46320206,"Evercore","https://www.evercore.com",988,"Securities","",2028.8,297.4,1871.9,1900,"","",False,"501-1000"
65589707,"Maxar Technologies","https://www.maxar.com",987,"Aerospace & Defense","Aerospace & Defense",2033.0,109.0,642.3,5800,"","",False,"501-1000"
56516632,"Barnes & Noble Education","https://www.bned.com",986,"Specialty Retailers: Other","Retailing",2034.6,24.4,65.7,12400,"","",True,"501-1000"
96965279,"Chico's FAS","https://www.chicosfas.com",985,"Specialty Retailers: Apparel","Retailing",2037.9,12.8,155.2,10944,"","",True,"501-1000"
1154664,"Copart","https://www.copart.com",984,"Commercial Services and Supplies","Retailing",2244.0,682.0,27030.0,7600,"","",True,"501-1000"
56569439,"Floor & Decor Holdings","https://www.flooranddecor.com",983,"Specialty Retailers","Retailing",2123.0,157.0,7613.0,6336,"","",True,"501-1000"
4430292,"Oceaneering International","https://www.oceaneering.com",982,"Oil and Gas Equipment, Services","",2048.1,348.4,291.8,9100,"","",False,"501-1000"
14951394,"ProPetro Holding","https://www.propetroservices.com",981,"Oil and Gas Equipment, Services","",2052.3,163.0,251.5,1579,"","",False,"501-1000"
27073817,"Primerica","https://www.primerica.com",980,"Insurance: Life, Health (stock)","",2052.5,366.4,3637.2,2502,"","",False,"501-1000"
25733132,"TCF Financial","https://www.tcfbank.com",979,"Commercial Banks","",2052.8,295.5,3451.2,7732,"","",False,"501-1000"
27278298,"Wyndham Hotels & Resorts","https://www.wyndhamhotels.com",978,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure",2053.0,157.0,2933.8,14200,"","",False,"501-1000"
45236433,"HEICO","https://www.heico.com",977,"Aerospace & Defense","Aerospace & Defense",2055.6,327.9,9184.7,5900,"","",False,"501-1000"
82561450,"Vista Outdoor","https://www.vistaoutdoor.com",976,"Miscellaneous","Household Products",2058.5,648.4,509.3,5200,"","",True,"501-1000"
44006294,"Bright Horizons Family Solutions","https://www.brighthorizons.com",975,"Education","Business Services",2062.0,180.4,5936.4,33800,"","",True,"501-1000"
96420458,"Cabot Oil & Gas","https://www.cabotog.com",974,"Mining, Crude Oil Production","",1811.0,472.0,7031.0,547,"","",False,"501-1000"
47377124,"GNC Holdings","https://www.gnc.com",973,"Food & Drug Stores","Food & Drug Stores",2068.2,35.1,39.6,8400,"","",False,"501-1000"
83086160,"Viasat","https://www.viasat.com",972,"Network and Other Communications Equipment","",2068.3,67.6,2231.7,5600,"","",False,"501-1000"
11020622,"MYR Group","https://www.myrgroup.com",971,"Engineering, Construction","Engineering & Construction",2122.0,40.0,629.0,7100,"","",False,"501-1000"
25211133,"CrossAmerica Partners","https://www.crossamericapartners.com",970,"Oil and Gas Equipment, Services","",2071.4,18.1,298.4,548,"","",False,"501-1000"
2324897,"Oasis Petroleum","https://www.oasispetroleum.com",969,"Mining, Crude-Oil Production","",2071.7,128.2,113.3,609,"","",False,"501-1000"
47088222,"Bruker","https://www.bruker.com",968,"Scientific,Photographic and Control Equipment","",2072.6,197.2,5529.7,7230,"","",False,"501-1000"
22731954,"ServiceMaster Global Holdings","https://www.servicemaster.com",967,"Diversified Outsourcing Services","Business Services",2077.0,128.0,3657.0,12000,"","",True,"501-1000"
83177956,"LHC Group","https://www.lhcgroup.com",966,"Health Care: Pharmacy and Other Services","Health Care",2080.2,95.7,4419.9,22785,"","",True,"501-1000"
42358801,"Beazer Homes USA","https://www.beazer.com",965,"Homebuilders","Engineering & Construction",2087.8,79.5,202.1,1205,"","",False,"501-1000"
57529103,"EchoStar","https://www.echostar.com",964,"Network and Other Communications Equipment","",2098.3,62.9,3126.8,2300,"","",False,"501-1000"
49635551,"BGC Partners","https://www.bgcpartners.com",963,"Securities","",2104.2,55.7,894.3,5200,"","",False,"501-1000"
64590398,"Gray Television","https://www.gray.tv",962,"Entertainment","Media",2122.0,179.0,1071.6,7465,"","",True,"501-1000"
15154851,"Portland General Electric","https://www.portlandgeneral.com",961,"Utilities: Gas and Electric","",2123.0,214.0,4288.9,2949,"","",False,"501-1000"
