"company","Industry","Location","Industry Ranking","Previous Industry Ranking","Previous Top 50 Ranking","Website","Overall Score","Innovation","People Management","Use of Corporate Assets","Social Responsibility","Quality of Management","Financial Soundness","Long-Term Investment Value","Quality of Products/Services","Global Competitiveness"
"Apple","Computers","Cupertino, Calif.","1","1","1","https://www.apple.com","8.40","1","1","1","1","1","1","1","1","1"
"Microsoft","Computer Software","Redmond, Wash.","1","1","7","https://www.microsoft.com","8.17","1","2","1","2","1","1","1","2","1"
"Walt Disney","Entertainment","Burbank, Calif.","1","1","6","https://www.thewaltdisneycompany.com","8.39","2","1","1","1","1","1","1","2","1"
"Berkshire Hathaway","Insurance: Property and Casualty","Omaha","1","1","4","https://www.berkshirehathaway.com","7.73","3","1","1","6","1","1","1","2","3"
"Starbucks","Food Services","Seattle","1","1","5","https://www.starbucks.com","7.87","1","1","1","1","2","1","1","1","2"
"Alphabet","Internet Services and Retailing","Mountain View, Calif.","2","1","3","https://www.abc.xyz","8.17","-","-","-","-","-","-","-","-","-"
"JPMorgan Chase","Megabanks","New York City","1","1","10","https://www.jpmorganchase.com","7.12","1","1","1","2","1","1","1","1","2"
"Costco Wholesale","General Merchandisers","Issaquah, Wash.","4","3","13","https://www.costco.com","7.54","4","3","3","6","3","3","1","2","2"
"Salesforce","Computer Software","San Francisco","3","2","15","https://www.salesforce.com","7.79","3","1","3","1","3","3","3","3","4"
"Southwest Airlines","Airlines","Dallas","2","3","8","https://www.southwest.com","5.76","2","2","2","3","2","2","2","8","12"
"Coca-Cola","Beverages","Atlanta","2","2","18","https://www.coca-colacompany.com","6.94","4","2","3","1","1","1","8","4","1"
"Nike","Apparel","Beaverton, Ore.","1","1","16","https://www.nike.com","7.67","1","1","1","3","5","1","1","1","1"
"American Express","Consumer Credit Card and Related Services","New York City","4","4","14","https://www.americanexpress.com","6.51","5","4","4","3","4","4","6","4","4"
"FedEx","Delivery","Memphis","2","3","9","https://www.fedex.com","6.47","2","2","2","2","2","2","2","2","2"
"Netflix","Entertainment","Los Gatos, Calif.","2","2","11","https://www.netflix.com","7.64","1","2","2","4","2","6","3","1","2"
"Marriott International","Hotels, Casinos, and Resorts","Bethesda, Md.","1","1","24","https://www.marriott.com","7.56","1","1","1","1","1","1","1","2","1"
"Walmart","General Merchandisers","Bentonville, Ark.","3","2","26","https://www.stock.walmart.com","7.64","3","4","2","3","4","1","3","6","1"
"Delta Air Lines","Airlines","Atlanta","1","1","31","https://www.delta.com","7.31","1","1","1","1","1","1","1","1","1"
"Nordstrom","General Merchandisers","Seattle","2","1","28","https://www.nordstrom.com","7.71","2","2","3","2","2","4","4","1","3"
"Home Depot","Specialty Retailers","Atlanta","1","1","22","https://www.homedepot.com","6.28","1","1","2","1","2","2","1","1","5"
"Target","General Merchandisers","Minneapolis","1","4","38","https://www.target.com","7.92","1","1","1","1","1","2","2","3","4"
"Procter & Gamble","Soaps and Cosmetics","Cincinnati","2*","6","34","https://www.pginvestor.com","7.37","4","1","4","2","5","1","7","1","1"
"USAA","Insurance: Property and Casualty","San Antonio","3","3","20","https://www.usaa.com","6.90","2","2","2","1","3","2","6","1","11"
"BlackRock","Securities and Asset Management","New York City","1","1","23","https://www.blackrock.com","7.97","2","1","1","1","1","1","1","1","1"
"Johnson & Johnson","Pharmaceuticals","New Brunswick, N.J.","1","1","17","https://www.jnj.com","8.08","1","1","1","1","1","1","1","1","1"
"Goldman Sachs Group","Megabanks","New York City","3","2","27","https://www.goldmansachs.com","6.68","1","2","2","6","3","3","4","3","3"
"Singapore Airlines","Airlines","Singapore","3","2","32","https://www.singaporeair.com","5.47","6","3","4","5","3","5","6","2","2"
"3M","Chemicals","St. Paul, Minn.","1","2","21","https://www.3m.com","7.43","1","1","1","1","1","1","1","1","1"
"Toyota Motor","Motor Vehicles","Toyota, Japan","1","1","29","https://www.toyota.co.jp","7.99","2","1","1","1","1","1","1","1","1"
"Unilever","Soaps and Cosmetics","London","2*","1","44","https://www.unilever.co.uk","7.37","3","2","7","1","3","4","5","3","1"
"BMW","Motor Vehicles","Munich","2","2","19","https://www.bmwgroup.com","7.35","3","2","2","2","2","2","2","2","2"
"UPS","Delivery","Atlanta","1","1","33","https://www.ups.com","6.82","1","1","1","1","1","1","1","1","1"
"Accenture","Information Technology Services","Dublin","1","1","40","https://www.accenture.com","7.45","1","1","1","2","1","1","1","1","1"
"IBM","Information Technology Services","Armonk, N.Y.","2","2","35","https://www.ibm.com","6.65","2","2","4","1","3","2","7","2","2"
"Visa","Consumer Credit Card and Related Services","San Francisco","1","1","46","https://usa.visa.com","7.70","2","1","1","2","1","1","1","1","1"
"Charles Schwab","Securities and Asset Management","San Francisco","2","2","50","https://www.aboutschwab.com","7.53","1","2","2","2","2","2","2","2","3"
"CVS Health","Health Care: Pharmacy and Other Services","Woonsocket, R.I.","1","2","39","https://www.cvshealth.com","7.20","1","1","1","1","1","1","2","1","3"
"Nestlé","Consumer Food Products","Vevey, Switzerland","1","1","47","https://www.nestle.com","7.63","1","2","2","1","2","1","2","1","1"
"Adidas","Apparel","Herzogenaurach, Germany","4","5","42","https://www.adidas-group.com","7.04","2","5","5","6","6","4","5","3","2"
"Mastercard","Consumer Credit Card and Related Services","Purchase, N.Y.","2","2","-","https://www.mastercard.com","7.39","3","3","2","1","2","2","2","3","2"
"PepsiCo","Consumer Food Products","Purchase, N.Y.","2","2","41","https://www.pepsico.com","7.61","2","1","1","3","1","2","1","2","2"
"Caterpillar","Construction and Farm Machinery","Deerfield, Ill.","2","2","43","https://www.caterpillar.com","7.34","-","-","-","-","-","-","-","-","-"
"L’Oréal","Soaps and Cosmetics","Clichy, France","4","2","-","https://www.loreal.com","7.26","2","3","9","4","2","3","3","6","6"
"Lockheed Martin","Aerospace and Defense","Bethesda, Md.","5","2","-","https://www.lockheedmartin.com","7.18","5","5","6","5","4","4","4","4","6"
"Publix Super Markets","Food and Drug Stores","Lakeland, Fla.","2","1","-","https://www.publix.com","6.53","3","2","2","3","1","1","1","1","9"
"Merck","Pharmaceuticals","Kenilworth, N.J.","2","2","-","https://www.merck.com","7.46","2","2","2","2","2","2","2","2","3"
"Exxon Mobil","Petroleum Refining","Irving, Texas","-","-","36","https://www.exxonmobil.com","-","-","-","-","-","-","-","-","-","-"
"ABB","Industrial Machinery","Zurich","5","3","-","https://new.abb.com","6.21","5","6","5","4","8","6","8","4","3"
"Abbott Laboratories","Medical Products and Equipment","Abbott Park, Ill.","1","1","-","https://www.abbott.com","6.86","1","1","1","1","1","1","1","1","1"
"AbbVie","Pharmaceuticals","North Chicago, Ill.","8","8","-","https://www.abbvie.com","6.49","8","8","7","9","7","7","9","6","12"
"Activision Blizzard","Entertainment","Santa Monica, Calif.","3","4","-","https://www.activisionblizzard.com","7.09","3","4","7","10","3","2","2","3","4"
"AECOM","Engineering, Construction","Los Angeles","2","2","-","https://www.aecom.com","6.60","1","1","3","1","3","3","3","2","1"
"Aflac","Insurance: Life and Health","Columbus, Ga.","7","3","-","https://www.aflac.com","5.99","7","9","7","9","6","7","5","7","6"
"Air France-KLM Group","Airlines","Paris","4","5","-","https://www.airfranceklm.com","5.32","3","6","5","2","7","9","7","4","3"
"Airbus Group","Aerospace and Defense","Leiden, Netherlands","7","7","-","https://www.airbus.com","6.39","7","7","8","9","10","7","8","6","4"
"Alcoa","Metals","Pittsburgh","6","3","-","https://www.alcoa.com","5.65","-","-","-","-","-","-","-","-","-"
"Allstate","Insurance: Property and Casualty","Northbrook, Ill.","6","4","-","https://www.allstate.com","6.53","4","7","5","2","6","6","5","4","12"
"American Electric Power","Electric and Gas Utilities","Columbus, Ohio","6","6","-","https://www.aep.com","5.91","10","8","4","6","5","5","5","8","10"
"AmerisourceBergen","Wholesalers: Health Care","Chesterbrook, Pa.","3","4","-","https://www.amerisourcebergen.com","6.10","3","3","3","4","3","3","3","4","2"
"Amgen","Pharmaceuticals","Thousand Oaks, Calif.","5","6","-","https://www.amgen.com","6.92","4","4","5","7","3","5","5","3","11"
"Anheuser-Busch InBev","Beverages","Leuven, Belgium","3","3","-","https://www.ab-inbev.com","6.83","7","3","1","4","3","4","3","3","2"
"Anthem","Health Care: Insurance and Managed Care","Indianapolis","5","6*","-","https://www.antheminc.com","5.91","7","6","4","5","6","2","4","5","5"
"Apache","Mining, Crude-Oil Production","Houston","7","5","-","https://www.apachecorp.com","5.87","3","10","8","4","6","7","9","6","9"
