"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","reputation_score_growth","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index","n_data_breaches","last_available_year","date_of_incorporation","stock_turnover","age_in_years","return_on_assets","number_of_reviews","rating_overall_employer","values_culture","diversity_inclusion","work_balance_life","management_senior","compensation_benefits","opportunities_career","female_male","number_of_shareholder_proposals","privacy_exists_policy","of_a_existence_report_transparency","option_contact","legislation_complied_with","third_party_sharing","protection_of_data_a_existence_officer","type_iso","privacy_url_policy"
15927840,"Mutual of Omaha Insurance","https://www.mutualofomaha.com",300,"Insurance: Life, Health (stock)","Financials",10455.7,271.5,"",6072,"","","",76.0,1795.0,580.0,0.0284122563,21.5922152177,1,"","","","","",691,4.0,4.1,4.2,4.1,4.0,3.9,3.9,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.mutualofomaha.com/legal-services"
69573240,"ODP","https://www.officedepot.com",297,"Specialty Retailers: Other","Retailing",10647.0,99.0,867.7,40000,"","","",257.0,4303.0,1103.0,0.0346270044,20.2227236269,0,2020.0,"1986-01-01",10.44,35.4,0.029528,5700,3.1,2.9,3.7,3.2,2.7,2.8,2.8,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.officedepot.com/cm/help/privacy-statement"
61421604,"Boston Scientific","https://www.bostonscientific.com",296,"Medical Products and Equipment","Health Care",10108.0,3704.0,52495.0,36000,"6.52","6.27",0.03987240829346093,81.0,2355.0,722.0,0.0237791932,24.945977825,1,2020.0,"1979-06-22",7.34,41.9,0.023006,2700,4.4,4.4,4.4,4.1,4.2,4.1,4.2,"1",1.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.bostonscientific.com/en-US/privacy-policy.html"
41255816,"eBay","https://www.ebay.com",295,"Internet Services and Retailing","Technology",10800.0,1786.0,23930.2,13300,"","","",449.0,15309.0,1502.0,0.0293291528,26.2060779421,2,2020.0,"1998-03-13",35.04,23.2,0.090605,3900,4.0,4.1,4.0,4.1,3.5,4.1,3.9,"1",2.0,1,0.0,1.0,"gdpr ",1.0,1.0,0.0,"https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260"
11857351,"FirstEnergy","https://www.firstenergycorp.com",294,"Utilities: Gas and Electric","Energy",10850.0,912.0,21666.4,12316,"","","",30.0,1226.0,487.0,0.0244698206,32.4967482327,0,2020.0,"1996-09-17",34.04,24.6,0.029303,366,3.7,3.7,3.9,3.7,3.3,4.1,3.6,"1",1.0,1,0.0,0.0,"standard",0.0,1.0,0.0,"https://www.firstenergycorp.com/corporate/privacy_legal_statement.html"
58280832,"Entergy","https://www.entergy.com",293,"Utilities: Gas and Electric","Energy",10878.7,1241.2,18870.6,13635,"","","",85.0,2530.0,698.0,0.037944664,24.8228784004,0,2020.0,"1992-08-19",8.91,28.7,0.02122,283,4.1,4.0,4.3,4.0,3.6,4.1,3.8,"1",1.0,1,0.0,0.0,"standard",1.0,1.0,0.0,"https://www.entergy.com/privacy-policy/"
59476916,"Nvidia","https://www.nvidia.com",292,"Semiconductors","Technology",14777.0,3826.0,330936.0,13775,"6.97","7.49",-0.06942590120160219,91.0,1755.0,545.0,0.0296296296,19.5205535206,2,2020.0,"1998-02-24",9.13,23.2,0.127993,3200,4.8,4.7,4.5,4.3,4.6,4.6,4.6,"1","",1,0.0,1.0,"ccpa ",1.0,1.0,0.0,"https://www.nvidia.com/en-us/about-nvidia/privacy-policy/"
37791241,"IQVIA Holdings","https://www.iqvia.com",290,"Health Care: Pharmacy and Other Services","Health Care",10956.0,176.0,36532.0,67000,"6.67","6.68",-0.0014970059880239203,94.0,2987.0,795.0,0.031134918,27.695573015,0,2019.0,"2016-10-03",9.53,4.5,0.021175,6700,3.7,3.7,3.9,3.5,3.4,3.5,3.7,"1","",1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.iqvia.com/about-us/privacy/privacy-policy"
28049975,"Leidos Holdings","https://www.leidos.com",289,"Information Technology Services","Technology",11999.0,612.0,15605.0,37000,"5.89","","",203.0,4878.0,1235.0,0.0330053301,22.6335528774,0,2020.0,"2005-08-12",44.55,15.7,0.059134,2300,3.9,3.8,4.0,3.9,3.5,3.7,3.7,"1",1.0,1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.leidos.com/privacy"
94835721,"Discovery","https://www.corporate.discovery.com",287,"Entertainment","Media",11144.0,2069.0,9503.1,9200,"6.25","6.77",-0.0768094534711964,132.0,5840.0,1064.0,0.0318493151,31.2517642175,0,2020.0,"2008-04-28",5.75,13.0,0.05131,1500,3.9,3.6,4.0,3.7,3.3,4.1,3.3,"1",1.0,1,0.0,1.0,"standard",1.0,0.0,0.0,"https://corporate.discovery.com/privacy-policy/"
