"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","reputation_score_growth","stock_turnover_last_available_year","date_of_incorporation","stock_turnover","age_in_years","return_on_assets","pp_n_sentence","pp_number_of_words","pp_number_of_unique_words","pp_ambiquity_score","pp_gunning_fog_index","pp_privacy_policy_exists","pp_existence_of_a_transparency_report","pp_contact_option","pp_legislation_complied_with","pp_third_party_sharing","pp_existence_of_a_data_protection_officer","pp_iso_type","pp_privacy_policy_url","n_data_breaches","csr_index_last_available_year","csr_index","number_of_reviews","overall_employer_rating","culture_values","diversity_inclusion","work_life_balance","senior_management","compensation_benefits","career_opportunities","female_male","number_of_shareholder_proposals","share_shortterm_investors","share_longterm_investors","dummy_pp_legislation_complied_with_standard","dummy_pp_legislation_complied_with_gdpr","dummy_pp_legislation_complied_with_ccpa","dummy_sector_Technology","dummy_sector_Household Products","dummy_sector_Business Services","dummy_sector_Media","dummy_sector_Financials","dummy_sector_Health Care","dummy_sector_Transportation","dummy_sector_Retailing","dummy_sector_Energy","dummy_sector_Industrials","dummy_sector_Telecommunications","pp_ambiquity_score_standardized","pp_ambiquity_score_standardized_reverse","pp_gunning_fog_index_standardized","pp_gunning_fog_index_standardized_reverse","composite_relational_ig_practises","dummy_pp_legislation_complied_with_standard_reverse","pp_third_party_sharing_reverse","composite_formal_ig_practises","young_firm","log_n_employees","logmin_n_data_breaches","sqrt_n_data_breaches","log_age_in_years","sqrt_age_in_years"
16364679,"Autodesk","https://www.autodesk.com",737,"Computer Software","Technology",3651.0,429.0,67854.0,10100,6.23,6.61,-0.0574886535552193,2020,"1994-05-10","",27.1,0.0603,181.0,4557.0,929.0,0.0351108185,16.7154406371,1,1,1,"standard",1,1,1,"https://www.autodesk.com/company/legal-notices-trademarks/privacy-statement",0,2018,0.076132148,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7287867196393768,0.2712132803606232,0.47438806260158145,0.5256119373984185,0.6992063044397604,0,0,0.5,1,9.22029070282935,0.0,0.0,3.299533727885655,5.205766033928148
56410840,"Steelcase","https://www.steelcase.com",706,"Home Equipment, Furnishings","Household Products",2866.0,86.0,1548.0,12700,6.97,7.17,-0.0278940027894003,2020,"1912-03-16","",109.5,0.0209,93.0,2847.0,744.0,0.0252897787,17.8089126075,1,0,1,"standard",1,1,0,"https://www.steelcase.com/privacy-policy/",0,2018,0.0274468826,"","","","","","","","","","","","",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249337852713055,0.4750662147286945,0.5422067812033633,0.4577932187966367,0.4832148583813328,0,0,0.25,0,9.449357272446683,0.0,0.0,4.695924549256556,10.464224768228174
51796205,"Ciena","https://www.ciena.com",684,"Network and Other Communications Equipment","Technology",3533.0,362.0,8168.0,7032,6.36,5.88,0.0816326530612245,2020,"1992-11-02","",28.6,0.0797,60.0,1426.0,531.0,0.03085554,16.9400467508,1,0,1,"gdpr",0,1,1,"https://www.ciena.com/about/corporate-governance/privacy-policy/",0,2018,0.0048962532,"","","","","","","","","","","","",0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6404609388215081,0.3595390611784919,0.48831845975267446,0.5116815402473256,0.46780515035645437,1,1,1.0,1,8.858226439365012,0.0,0.0,3.353406717825807,5.347896782848375
61513084,"Workday","https://www.workday.com",676,"Computer Software","Technology",4163.0,339.0,54430.0,12200,6.76,6.91,-0.0217076700434153,2020,"2012-03-16","",9.2,-0.0136,134.0,3413.0,843.0,0.039554644,16.1769258017,1,0,1,"standard",1,1,1,"https://www.workday.com/en-us/privacy.html",0,2018,0.0306588048,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8210261246761694,0.17897387532383058,0.44098859094295506,0.5590114090570449,0.43449632109521885,0,0,0.5,1,9.409191230721348,0.0,0.0,2.2192034840549946,3.03315017762062
47398118,"Gartner","https://www.gartner.com",621,"Information Technology Services","Technology",4191.0,215.0,14427.0,16724,6.56,6.37,0.0298273155416011,2020,"1990-06-01","",31.0,0.0548,202.0,5479.0,1128.0,0.038145647,17.6025620777,1,0,1,"standard",1,1,1,"https://www.gartner.com/en/about/policies/privacy",0,2018,-0.0004970338,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917799166559342,0.20822008334406583,0.5294086218607735,0.47059137813922647,0.4197028653708231,0,0,0.5,1,9.724600092476456,0.0,0.0,3.4339872044851463,5.5677643628300215
60310056,"Broadridge Financial Solutions","https://www.broadridge.com",610,"Financial Data Services","Business Services",4362.2,482.1,10886.7,11000,6.61,6.71,-0.0149031296572279,2020,"2006-12-06","",14.5,0.0861,218.0,5354.0,1154.0,0.0332461711,17.6236290795,1,0,1,"standard",1,1,1,"https://www.broadridge.com/legal/privacy-statement-english",0,2018,0.0042101364,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900826870936788,0.3099173129063212,0.5307152278877526,0.4692847721122474,0.44480052125464214,0,0,0.5,1,9.305650551780507,0.0,0.0,2.6741486494265287,3.8078865529319543
15981844,"Juniper Networks","https://www.juniper.net",601,"Network and Other Communications Equipment","Technology",4445.4,345.0,6326.3,9419,6.14,7.1,-0.1352112676056338,2020,"1997-09-10","",23.7,0.0321,158.0,4186.0,921.0,0.03870043,18.4331109727,1,0,1,"standard",1,1,1,"https://www.juniper.net/us/en/privacy-policy/",1,2018,0.0342121267,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032954124476855,0.19670458755231446,0.5809204697359605,0.41907953026403955,0.40394602945408853,0,0,0.5,1,9.150484204822817,0.6931471805599453,1.0,3.1654750481410856,4.868264577855234
36074314,"Leggett & Platt","https://www.leggett.com",569,"Home Equipment, Furnishings","Household Products",4244.0,232.0,5860.0,22000,6.01,6.56,-0.0838414634146341,2020,"1901-02-23","",120.6,0.0564,67.0,1703.0,502.0,0.0358191427,16.2505464457,1,0,0,"standard",1,0,0,"https://privacy.leggett.com/privacy-statement",0,2018,-0.0078342262,"","","","","","","","","","","","",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7434892327738737,0.2565107672261263,0.44555465013228335,0.5544453498677167,0.20273902927346074,0,0,0.0,0,9.998797732340453,0.0,0.0,4.792479284293085,10.981803130633876
44287733,"Electronic Arts","https://www.ea.com",550,"Entertainment","Media",5590.0,1314.0,42236.0,9800,6.53,7.06,-0.0750708215297449,2019,"1991-05-08","",30.1,0.0536,2.0,12.0,12.0,0.0,9.0666666667,1,0,0,"standard",1,1,0,"https://www.ea.com/legal/privacy-policy",0,2018,0.0230493219,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0,0,0.25,1,9.190137664658664,0.0,0.0,3.40452517175483,5.486346689738081
41605654,"CACI International","https://www.caci.com",549,"Information Technology Services","Technology",5889.0,374.0,6300.0,23000,5.84,5.56,0.0503597122302158,2020,"1985-10-08","",35.7,0.0612,71.0,1884.0,554.0,0.0212314225,17.0259741036,1,0,1,"standard",1,0,1,"https://www.caci.com/privacy-policy",0,2018,-0.0032387366,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44069547273734605,0.559304527262654,0.4936477988829746,0.5063522011170254,0.5164141820949198,0,0,0.25,0,10.043249494911286,0.0,0.0,3.5751506887855933,5.974947698515862
