firmhash,firm,number_of_words,number_of_unique_words,n_sentence,ambiquity_score,gunning_fog_score
15927840,Mutual of Omaha Insurance,1779,582,30,0.02810567735,26.8
69573240,ODP,4267,1108,103,0.03374736349,18.74
61421604,Boston Scientific,2326,724,52,0.02364574377,21.37
41255816,eBay,15171,1473,234,0.02972777009,26.76
11857351,FirstEnergy,1214,487,23,0.02306425041,26.54
58280832,Entergy,2504,706,49,0.03793929712,23.12
59476916,Nvidia,1622,497,45,0.03205918619,17.16
37791241,IQVIA Holdings,2941,805,44,0.03162189731,29.82
28049975,Leidos Holdings,4631,1219,61,0.03390196502,32.8
94835721,Discovery,5807,1068,15,0.03220251421,153.69
64641415,J.C. Penney,5323,1026,92,0.02930678189,24.45
31897534,Adobe,4550,889,73,0.03604395604,26.46
52654257,Navistar International,2043,782,50,0.01908957416,20.32
59607113,Norfolk Southern,795,334,17,0.03396226415,22.26
29810937,Baxter International,500,254,5,0.004,43.27
13079849,Universal Health Services,1281,368,14,0.01483216237,40.51
5107203,Fox,3206,727,60,0.03774173425,23.55
32106330,Corning,1982,621,45,0.03279515641,20.7
54537981,Xcel Energy,632,306,9,0.02689873418,32.94
49656933,Live Nation Entertainment,4,4,1,0,21.6
76452060,Laboratory Corp. of America (Labcorp),1549,521,40,0.02711426727,18.48
80542798,Charles Schwab,1082,432,28,0.02495378928,18.19
19742213,Vistra Energy,783,307,22,0.04342273308,17.67
36433727,Pacific Life,1685,565,23,0.03145400593,32.91
83890025,AutoZone,28226,3442,675,0.02263870191,17.35
35646797,CSX,971,406,20,0.0298661174,23.23
20859101,Unum Group,2958,787,32,0.03110209601,39.68
60048308,Bed Bath & Beyond,91,64,1,0.04395604396,41.84
35504039,Group 1 Automotive,1089,406,27,0.03213957759,19.49
28174171,Expedia Group,1604,515,30,0.036159601,24
3524436,Murphy USA,13222,1868,291,0.02579034942,19.65
53206828,CenterPoint Energy,3297,859,39,0.03942978465,35.65
20520037,Edison International,2983,946,45,0.02916526986,30.28
87621488,Sempra Energy,3414,890,59,0.03075571178,25.77
2296999,Consolidated Edison,2039,582,34,0.03531142717,26.82
17155719,Farmers Insurance Exchange,3070,748,47,0.03615635179,28.6
73704178,American Family Insurance Group,2861,934,55,0.01992310381,24.82
54218658,DTE Energy,1067,384,23,0.02999062793,21.53
61240936,DISH Network,9,8,1,0,3.6
27717375,Ameriprise Financial,1,1,1,0,0
52807078,State Street,3190,913,49,0.0263322884,29.01
60132111,BJ's Wholesale Club,3613,809,9,0.03265983947,158.93
18880252,Kinder Morgan,142,97,4,0.007042253521,24.29
78768752,Community Health Systems,1623,474,68,0.02711028959,12.16
9911099,Qurate Retail,307,172,6,0.04234527687,26.34
52856789,Guardian Life Ins. Co. of America,4582,944,73,0.03906591008,27.15
16873180,Discover Financial Services,912,357,18,0.03179824561,23.08
40920640,DaVita,3189,875,19,0.03606146127,67.37
10475154,Illinois Tool Works,4159,912,78,0.03270016831,23.23
16642056,Uber Technologies,6454,1198,126,0.0328478463,22.21
78271153,Automatic Data Processing,9983,1596,173,0.02624461585,25.03
52767643,Reinsurance Group of America,2892,745,45,0.03250345781,27.33
30712181,Parker-Hannifin,2028,546,32,0.03303747535,27.6
50861209,Biogen,4798,1090,81,0.03522300959,25.88
4584516,Texas Instruments,1737,542,38,0.02993667242,21.29
17231888,Freeport-McMoRan,2246,670,31,0.03829029386,31.89
73624301,Stanley Black & Decker,5982,1165,41,0.03811434303,59.47
2313883,BlackRock,2644,691,58,0.03025718608,21.1
1132045,Applied Materials,1841,529,51,0.03367734927,17.66
83409422,Truist Financial,2167,578,67,0.03276419012,15.35
15422413,Estée Lauder,2439,626,41,0.0315703157,26.11
93682208,Stryker,1636,599,23,0.03178484108,32.14
49336259,Loews,6140,1263,81,0.03664495114,32.08
70309399,Omnicom Group,3300,848,19,0.02939393939,72.08
13833149,Booking Holdings,1924,559,44,0.03742203742,19.68
44690539,C.H. Robinson Worldwide,3501,888,57,0.03713224793,26.58
40335925,Waste Management,3,3,1,0,14.53
83800849,American Electric Power,1871,518,3,0.03580972742,246.42
16065958,Colgate-Palmolive,4472,929,14,0.03376565295,126.12
82435358,Ross Stores,3890,857,62,0.03264781491,26.75
72507226,Principal Financial,3701,903,47,0.02999189408,33.5
97338549,Aramark,4357,929,86,0.0431489557,21.97
85529201,Gap,6502,1416,105,0.03060596739,27.2
44689828,Western Digital,51342,14603,444,0.002123018192,49.65
74910338,Dominion Energy,2554,753,46,0.03680501175,26.14
52256752,XPO Logistics,3397,774,68,0.03679717398,22.62
47955590,Marsh & McLennan,2056,634,8,0.03356031128,104.67
63926746,Cognizant Technology Solutions,2722,732,39,0.03526818516,30.78
60090966,Molina Healthcare,4425,1076,101,0.02282485876,20.58
20127012,Mastercard,6559,1044,113,0.03415154749,25.06
91013737,Salesforce,1283,447,13,0.01714731099,42.62
69027748,PG&E,5605,1119,98,0.02586975914,25.21
44037196,BD,5522,1406,101,0.03096704093,25.39
84193247,HollyFrontier,2167,572,48,0.03784033226,21.07
49714782,PayPal Holdings,3159,795,74,0.03798670465,19.07
2257066,Jones Lang LaSalle (JLL),986,361,24,0.0354969574,19.31
90537930,CDW,2983,738,49,0.02212537714,26.71
18164447,Emerson Electric,6397,1334,88,0.03642332343,31.56
23104382,Kimberly-Clark,4597,1163,68,0.0274091799,29.53
67426216,Tenet Healthcare,2014,614,47,0.03723932473,20.42
8545348,CarMax,3495,803,73,0.04120171674,21.11
38270491,NextEra Energy,1615,527,30,0.03157894737,24.84
3394254,Synchrony Financial,5032,958,88,0.02424483307,22.7
7096877,Kohl’s,3558,768,66,0.04215851602,22.48
19452525,Netflix,5939,1078,104,0.0338440815,24.28
97306865,Whirlpool,92,57,3,0.02173913043,17.72
44365702,Hartford Financial Services Group,2551,690,52,0.03488827911,22.78
29577074,Bank of New York Mellon,1519,440,40,0.03291639236,17.84
7616789,ManpowerGroup,3315,847,41,0.03438914027,34.85
85302124,DXC Technology,4099,1084,65,0.03244693828,28.33
67583415,AutoNation,8072,1812,164,0.02403369673,22.07
7282506,Southern Company,1853,590,49,0.03453858608,18.19
47147965,PNC Financial Services Group,3110,772,81,0.03183279743,17.84
62258152,Union Pacific,3371,750,51,0.03025808365,28.08
26738076,Occidental Petroleum,677,261,26,0.02511078287,13.56
41405358,Aflac,9358,1365,144,0.02756999359,27.35
97738551,Eli Lilly,1,1,1,0,0.4
96382114,Lumen Technologies,7940,874,125,0.04231738035,26.3
99368695,Halliburton,2106,631,41,0.04036087369,24.45
99974471,Southwest Airlines,5606,1141,112,0.03960042811,22.05
77644806,Gilead Sciences,4010,1008,46,0.0349127182,37.73
43863760,Visa,2866,923,68,0.03175157013,19.95
53578149,Penske Automotive Group,4280,971,25,0.02476635514,69.12
56444265,Amgen,15870,2636,206,0.01216131065,33.14
41298594,Micron Technology,3878,898,100,0.03068592058,17.82
70488772,Cummins,7635,1435,169,0.0296005239,20.14
20094071,Baker Hughes,3679,943,42,0.02989942919,37.47
97012135,CBRE Group,4227,990,82,0.0357227348,22.87
57980856,NGL Energy Partners,2079,661,35,0.0303030303,26.39
