"firmhash","firm","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index"
15927840,"Mutual of Omaha Insurance",76,1795,580,0.0284122563,16.5560035185
69573240,"ODP",256,4314,1109,0.0345387112,13.054950452
61421604,"Boston Scientific",73,2169,681,0.0253573075,18.7821191509
41255816,"eBay",449,15311,1504,0.0293253217,20.0172035797
11857351,"FirstEnergy",30,1226,487,0.0244698206,24.7969113649
58280832,"Entergy",85,2530,698,0.037944664,18.4671471751
59476916,"Nvidia",91,1755,545,0.0296296296,13.5034595035
37791241,"IQVIA Holdings",94,2987,795,0.031134918,21.2543276183
28049975,"Leidos Holdings",201,4874,1242,0.0332375872,16.4126744203
94835721,"Discovery",132,5840,1064,0.0318493151,25.1901203819
31897534,"Adobe",140,4561,922,0.0361762771,18.5389927021
52654257,"Navistar International",113,2073,732,0.020260492,14.1494375643
59607113,"Norfolk Southern",40,799,326,0.0337922403,13.7972590738
29810937,"Baxter International",31,504,252,0.003968254,13.0111623144
13079849,"Universal Health Services",109,2677,624,0.024654464,17.8776447687
5107203,"Fox",124,3237,729,0.0373802904,16.9417810199
32106330,"Corning",63,1787,569,0.0324566312,17.5687513879
54537981,"Xcel Energy",123,2732,705,0.0366032211,14.2579057006
49656933,"Live Nation Entertainment",213,2849,627,0.0438750439,9.8570792486
76452060,"Laboratory Corp. of America (Labcorp)",63,1594,524,0.026348808,15.6915257613
46177440,"Ally Financial",95,1578,481,0.0266159696,12.5757694617
80542798,"Charles Schwab",59,1079,433,0.0240963855,14.2846703633
19742213,"Vistra Energy",37,782,304,0.0447570332,14.6433123661
36433727,"Pacific Life",57,1689,557,0.0307874482,20.1889252438
35646797,"CSX",48,997,413,0.0290872618,14.0856653293
20859101,"Unum Group",105,2986,777,0.0311453449,19.3055796893
60048308,"Bed Bath & Beyond",249,4804,880,0.0341382182,14.2035305251
35504039,"Group 1 Automotive",51,1106,409,0.0316455696,15.5822855725
28174171,"Expedia Group",60,1622,512,0.0357583231,16.60864776
3524436,"Murphy USA",473,13349,1861,0.0258446326,16.5566052489
53206828,"CenterPoint Energy",125,3322,826,0.0394340759,16.5304602047
20520037,"Edison International",124,3116,858,0.0285622593,16.6113048159
87621488,"Sempra Energy",122,3460,888,0.0303468208,19.1592911968
2296999,"Consolidated Edison",73,2097,597,0.0352885074,17.6325187319
17155719,"Farmers Insurance Exchange",127,3156,745,0.036121673,16.3026416375
73704178,"American Family Insurance Group",122,2889,929,0.0211145725,18.0148795034
54218658,"DTE Energy",58,1073,379,0.0316868593,12.9172413793
17151193,"Lithia Motors",151,3396,746,0.035041225,14.9795365018
61240936,"DISH Network",185,3767,731,0.03530661,14.4735083477
99140308,"L Brands",251,4666,982,0.027218174,14.9026375424
27717375,"Ameriprise Financial",45,699,270,0.0286123033,12.8513876967
52807078,"State Street",126,3144,901,0.0267175573,17.5763722283
60132111,"BJ's Wholesale Club",109,3734,796,0.0316014997,19.4660088549
18880252,"Kinder Morgan",10,142,95,0.014084507,18.356056338
78768752,"Community Health Systems",82,1646,485,0.0261239368,13.7886850606
9911099,"Qurate Retail",17,312,174,0.0480769231,15.6745098039
52856789,"Guardian Life Ins. Co. of America",151,4677,952,0.0387000214,18.9064020492
16873180,"Discover Financial Services",41,995,407,0.0311557789,16.4208849124
40920640,"DaVita",144,3238,857,0.0367510809,14.4916649509
10475154,"Illinois Tool Works",174,4190,915,0.0329355609,16.4293199462
16642056,"Uber Technologies",253,6599,1197,0.0324291559,15.9491888518
78271153,"Automatic Data Processing",386,10137,1678,0.0257472625,17.7336264165
52767643,"Reinsurance Group of America",118,2911,747,0.032978358,16.4359862357
30712181,"Parker-Hannifin",53,2024,546,0.0335968379,21.1055112238
50861209,"Biogen",209,4833,1079,0.0357955721,15.9288420815
4584516,"Texas Instruments",50,1740,550,0.0304597701,20.7016091954
17231888,"Freeport-McMoRan",75,2254,651,0.0385980479,19.0310937592
73624301,"Stanley Black & Decker",206,6030,1141,0.0378109453,17.4268141493
2313883,"BlackRock",139,4297,989,0.0360716779,18.9468034416
1132045,"Applied Materials",85,1865,514,0.0337801609,16.4333070494
83409422,"Truist Financial",93,2170,568,0.0331797235,14.3287250384
15422413,"Estée Lauder",84,2452,636,0.0314029364,18.3972345219
93682208,"Stryker",45,1629,595,0.0319214242,22.5831307551
49336259,"Loews",196,6170,1264,0.0364667747,19.6518043198
70309399,"Omnicom Group",105,3353,823,0.028929317,20.4321463366
13833149,"Booking Holdings",83,1968,558,0.0365853659,14.4843373494
44690539,"C.H. Robinson Worldwide",104,3475,907,0.0376978417,20.1452407305
40335925,"Waste Management",111,2413,631,0.0406133444,14.8620930918
45407176,"Nordstrom",128,3914,706,0.027593255,18.1484702351
83800849,"American Electric Power",72,1879,520,0.0361894625,16.7614008633
16065958,"Colgate-Palmolive",131,4421,914,0.0341551685,19.1178749583
82435358,"Ross Stores",139,3924,867,0.0326197757,17.785460439
72507226,"Principal Financial",178,3756,885,0.0298189563,14.7663280325
97338549,"Aramark",180,4414,903,0.0432714092,15.9076655087
85529201,"Gap",224,6530,1403,0.0306278714,18.3498413914
44689828,"Western Digital",1895,41050,8632,0.0027527406,15.9886591742
52256752,"XPO Logistics",101,3459,763,0.0372940156,19.6429243271
47955590,"Marsh & McLennan",83,2084,624,0.0335892514,15.8591124575
63926746,"Cognizant Technology Solutions",96,2748,719,0.0349344978,19.4267103348
60090966,"Molina Healthcare",185,4681,1092,0.0232856227,16.0856185731
20127012,"Mastercard",237,6688,1045,0.0336423445,18.4588163447
91013737,"Salesforce",27,1251,430,0.0175859313,24.7363709033
69027748,"PG&E",192,5670,1118,0.0261022928,19.3327821869
7350014,"Lincoln National",166,3742,851,0.0264564404,15.3664131674
44037196,"BD",180,5649,1417,0.0308019118,20.2290281466
84193247,"HollyFrontier",84,2189,577,0.0388305162,18.4457373447
49714782,"PayPal Holdings",145,3290,799,0.0373860182,14.3646158684
2257066,"Jones Lang LaSalle (JLL)",58,997,363,0.0351053159,13.0945180369
90537930,"CDW",91,2981,754,0.0221402214,20.7249001921
18164447,"Emerson Electric",193,6487,1298,0.0368429166,20.6959855143
23104382,"Kimberly-Clark",134,3683,964,0.0309530274,17.6516459246
67426216,"Tenet Healthcare",69,2041,597,0.0377266046,17.9661319757
8545348,"CarMax",120,3518,815,0.0409323479,17.5708963426
