"company","url"
"Autodesk","https://www.autodesk.com/company/legal-notices-trademarks/privacy-statement"
"Steelcase","https://www.steelcase.com/privacy-policy/"
"Ciena","https://www.ciena.com/about/corporate-governance/privacy-policy/"
"Workday","https://forms.workday.com/nl-nl/quick-demos/product-preview-enterprise-cloud-for-hr-and-finance/form.html"
"Gartner","https://www.gartner.com/en/about/policies/privacy"
"Broadridge Financial Solutions","https://www.broadridge.com/legal/privacy-statement-english"
"Juniper Networks","https://www.juniper.net/us/en/privacy-policy/"
"Leggett & Platt","https://privacy.leggett.com/"
"Electronic Arts","https://www.ea.com/legal/privacy-policy"
"CACI International","https://www.caci.com/privacy-policy"
"T. Rowe Price","https://www.troweprice.com/PrivacyNoticeUSCAN"
"Cerner","https://www.cerner.com/privacy"
"Simon Property Group","https://www.simon.com/legal/privacy"
"Fortune Brands Home & Security","https://www.fbhs.com/privacy-policy"
"Robert Half International","https://www.roberthalf.com/privacy-policy"
"Apache","https://www.apachecorp.com/wp-content/uploads/2020/01/Apache_Code_of_Business_Conduct_and_Ethics.pdf"
"Activision Blizzard","https://www.activisionblizzard.com/legal/privacy-policy"
"Booz Allen Hamilton Holding","https://www.boozallen.com/about/environmental-social-governance-report/data-privacy.html"
"Intuit","https://www.intuit.com/privacy/"
"Northern Trust","https://www.northerntrust.com/united-states/privacy/global-privacy-standard"
"Quest Diagnostics","https://www.questdiagnostics.com/home/privacy/"
"Motorola Solutions","https://www.motorolasolutions.com/en_us/about/privacy-policy.html"
"Raymond James Financial","https://www.raymondjames.com/privacy-security-and-account-protection/privacy-notice"
"Ryder System","https://ryder.com/privacy-policy"
"Wayfair","https://www.wayfair.com/help/article/privacy_policy"
"J.B. Hunt Transport Services","https://www.jbhunt.com/privacy-policy.html"
"Jones Financial (Edward Jones)","https://www.edwardjones.com/us-en/privacy"
"Lam Research","https://www.lamresearch.com/privacy/"
"Fiserv","https://www.fiserv.com/en/about-fiserv/privacy-notice.html"
"Liberty Media","http://www.libertymedia.com/privacy.html"
"Henry Schein","https://www.henryschein.com/us-en/privacy.aspx"
