"company","url"
"Mutual of Omaha Insurance","https://www.mutualofomaha.com/legal-services"
"ODP","https://www.officedepot.com/cm/help/privacy-statement"
"Boston Scientific","https://www.bostonscientific.com/en-US/privacy-policy.html"
"eBay","https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260"
"FirstEnergy","https://www.firstenergycorp.com/corporate/privacy_legal_statement.html"
"Entergy","https://www.entergy.com/privacy-policy/"
"Nvidia","https://www.nvidia.com/en-us/about-nvidia/privacy-policy/"
"IQVIA Holdings","https://www.iqvia.com/about-us/privacy/privacy-policy"
"Leidos Holdings","https://www.leidos.com/privacy"
"Discovery","https://corporate.discovery.com/privacy-policy/"
"J.C. Penney","https://www.jcpenney.com/m/privacy-notice"
"Adobe","https://www.adobe.com/privacy/policy.html"
"Navistar International","https://www.navistar.com/navistar/privacypolicy"
"Norfolk Southern","http://www.norfolksouthern.com/content/nscorp/en/privacy.html"
"Baxter International","https://www.baxter.com/policies-positions/global-privacy-policy"
"Universal Health Services","https://www.uhsinc.com/compliance-and-ethics/uhs-privacy-policies/"
"Fox","https://www.foxcorporation.com/privacy-policy/"
"Corning","https://www.corning.com/worldwide/en/privacy-policy.html"
"Xcel Energy","https://www.xcelenergy.com/billing_and_payment/customer_data_&_privacy/privacy_policy_and_customer_data_access"
"Live Nation Entertainment","https://help.livenation.com/s/article/Live-Nation-Entertainment-Privacy-Policy?language=en_US"
"Laboratory Corp. of America (Labcorp)","https://www.labcorp.com/hipaa-privacy/website-privacy-policy"
"Ally Financial","https://www.ally.com/privacy/"
"Charles Schwab","https://www.schwab.com/legal/privacy"
"Vistra Energy","https://www.vistracorp.com/privacy-policy/"
"Pacific Life","https://www.pacificlife.com/home/privacy-and-other-policies/our-privacy-promise.html"
"AutoZone","https://www.autozone.com/lp/termsAndConditions"
"CSX","https://www.csx.com/index.cfm/about-the-site/privacy/"
"Unum Group","https://www.unum.com/privacy/internet-privacy-notice"
"Bed Bath & Beyond","https://www.bedbathandbeyond.com/store/static/PrivacyPolicy"
"Group 1 Automotive","https://www.group1auto.com/privacy.html"
"Expedia Group","https://www.expediagroup.com/privacy-policy/"
"Murphy USA","https://www.murphyusa.com/About-Us/Terms-of-Use-and-Privacy-Policy/"
"CenterPoint Energy","https://www.centerpointenergy.com/en-us/corporate/legal/privacy-policy"
"Edison International","https://www.edison.com/home/privacy-notice.html"
"Sempra Energy","https://www.sempra.com/privacy"
"Consolidated Edison","https://www.coned.com/en/conedison-privacy-statement"
"Farmers Insurance Exchange","https://www.farmers.com/privacy-statement/"
"American Family Insurance Group","https://www.amfam.com/privacy-security"
"DTE Energy","https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/customer+data+privacy+policy"
"Lithia Motors","na"
"DISH Network","https://my.dish.com/privacy-policy"
"L Brands","https://www.lb.com/communication/privacy-policy"
"Ameriprise Financial","https://www.ameriprise.com/binaries/content/assets/ampcom/ucm/p-038885.pdf"
"State Street","https://www.statestreet.com/utility/privacy-notice.html"
"BJ's Wholesale Club","https://www.bjs.com/content?template=B&espot_main=about_privacy"
"Kinder Morgan","https://pipeportal.kindermorgan.com/PortalUI/PrivacyPolicy.aspx?TSP=SNGD"
"Community Health Systems","https://www.chs.net/privacy_statement/"
"Qurate Retail","http://qurateretail.com/privacy.html"
"Guardian Life Ins. Co. of America","https://www.guardianlife.com/guardian-privacy-statement"
"Discover Financial Services","https://www.discover.com/privacy-statement/credit-cards-privacy-policy.html"
"DaVita","https://www.davita.com/privacy-policy"
"Illinois Tool Works","https://www.itw.com/privacy-statement/"
"Uber Technologies","https://www.uber.com/legal/en/document/?uclick_id=0d72a24e-9000-489e-8943-b8d7007c9a7e&country=united-states&lang=en&name=privacy-notice"
"Automatic Data Processing","https://www.adp.com/privacy.aspx"
"Reinsurance Group of America","https://www.rgare.com/privacy/web-privacy-policy"
"Parker-Hannifin","https://www.parker.com/portal/site/PARKER/menuitem.4450f18f18c082cdfd40eae8237ad1ca/?vgnextoid=760b904cf58b2110VgnVCM100000c9040d0aRCRD"
"Biogen","https://www.biogen.com/en_us/privacy-policy.html"
"Texas Instruments","https://www.ti.com/legal/terms-conditions/privacy-policy/north-america.html"
"Freeport-McMoRan","https://fcx.com/freeport-mcmoran-online-privacy-notice"
"Stanley Black & Decker","https://www.stanleyblackanddecker.com/privacy-policy/global-privacy-policy"
"BlackRock","https://www.blackrock.com/cash/en-gb/account-resources/ics-privacy-notice"
"Applied Materials","https://www.appliedmaterials.com/privacy"
"Truist Financial","https://www.wearetruist.com/privacy-notice"
"Estée Lauder","https://www.elcompanies.com/en/privacy-policy"
"Stryker","https://www.stryker.com/us/en/legal/privacy.html"
"Loews","https://www.loewshotels.com/privacy-policy"
"Omnicom Group","https://www.omnicomgroup.com/privacy-notice/"
"Booking Holdings","https://www.bookingholdings.com/privacy-policy/"
"C.H. Robinson Worldwide","https://www.chrobinson.com/en-us/privacy-notice/"
"Waste Management","https://www.wm.com/us/en/privacy"
"Nordstrom","https://www.nordstrom.com/browse/customer-service/policy/privacy"
"American Electric Power","https://aep.com/privacy"
"Colgate-Palmolive","https://www.colgatepalmolive.com/en-us/legal-privacy-policy"
